site,doy,cp,year,spec
12,243,0.48,2018,MOCL
12,250,0.52,2018,MOCL
12,258,0.86,2018,MOCL
12,265,0.92,2018,MOCL
12,273,0.94,2018,MOCL
12,279,1,2018,MOCL
13,208,0.02,2018,MOCL
13,215,0.05,2018,MOCL
13,222,0.12,2018,MOCL
13,229,0.24,2018,MOCL
13,236,0.29,2018,MOCL
13,243,0.54,2018,MOCL
13,258,0.73,2018,MOCL
13,265,0.85,2018,MOCL
13,273,0.95,2018,MOCL
13,279,1,2018,MOCL
14,194,0.1,2018,MOCL
14,201,0.21,2018,MOCL
14,208,0.29,2018,MOCL
14,215,0.37,2018,MOCL
14,222,0.46,2018,MOCL
14,229,0.58,2018,MOCL
