ID,Country,Continent,number_years,size,IUCN_category,IUCN_Dummy,PGDP_2017,HDI_2017,disToRoads,disTocities,Illigal_poaching1_change,Illigal_poaching2_change,logging_change,mining_change,Compliance_change_Orig,Compliance_change_rev,Agri_encroachment_chnage,grazing_encroachment_chnage,fire_change,Attitude_NP_change,Park_authority_change,Trust_change,Wilflife.Protect_change,Want.NPLand_change_Orig,Want.NPLand_change_rev,Satisfied_change,support_NP_change,Pop_change,NP_relatedBnefit_change,NP_related_econBenefit_Chnage,Poverty_chnage_Orig,Poverty_chnage_rev,Electricity_chnage,Livestock_change,CleanWater_change,Vistation_rate_change,TourismBenefit_change,Unemplyment_change_Orig,Unemplyment_change_rev,Housing_change,ResourceAccess_change,Busness_opration_change,Grants_change,TourismTax.Revenue_chabge,NP_RelatedBenefits_index,Decion_making_change,Benefit_distr_change,Befit_satisfaction_change,Culture_NP_change,Participation_NP_protection_change,Village_chief_change,Supportive_culture,Local_institutions,Willingness,Connection.TO.nuture,Trust.Towards.community,Hunting_deep_rooted,Bush_meat_dependance,Bush_meat_Protine,Training,Resources,Willingness_TO_support,Get_sufficient_support,Power_TO_make_decisions,Ability_TO_reward,Ability_.to_punish,Priority_to_biodiversity,Independent_government_office,Buffor_zone,Regular_patrol,research_institute,Re_introduction,Re_vegitation,Re_hablitation,Re_hablitation2,PES,Alt_Livelihoods,CBC,Community_project,Community_school,Community_health,Community_roads,Community_others,Awareness_creation,Sustainable_Turism_management,Forest_cover_inside,Forest_degradation_inside,Forest_fragmentation_inside,Wood_shrub_cover_inside,Meadow_grassland_cover_inside,Cropland_cover_inside,Wetland_vegetation_cover_inside,Aquatic_vegetation_cover_inside,Fire_Incidence_inside,Logging_inside,Mining_inside,Agri_Severity,Agri_Change_severity,Agri_legal,Invasive_Severity,Invasive_Change_severity,Dams_Severity,Dams_change_severity,Fire_Severity,Fire_Change_severity,Fire_legal,pollution_Severity,Pollution_Change_severity,HumanIntrusion_Severity,HumanIntrusion_Change_severity,HumanIntrusion_legal,Transport_Severity,Transport_Change_severity,Transport_legal,Residential_com_Severity,Residential_com_Change_severity,Residential_Com_legal,Climate_Severity,Climate_severity_Change,Energy_Severity,Energy_Change_severity,Energy_legal,Hunting_Severity,Hunting_Change_severity,Hunting_legal,Logging_Severity,Logging_Change_severity,logging_legal,GatheringPlants_Severity,GatheringPlants_Change_severity,GatheringPlants_legal,Fishing_Severity,Fishing_Change_severity,Fishing_legal,GeologicalEvents_Severity,GeologicalEvents_Change_severity,PoisoningAnimals_Severity,PoisoningAnimals_Change_severity,PoisoningAnimals_legal,Abundance_change
101,Cameroon,Africa,9,581.23,II,1,3700,0.556,3.668165722,3.110566337,0,0,-1,0,-1,1,-1,0,-1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,0,NA,1,-1,0,0,0,NQ,0,1,NA,-1,0.2,1,1,1,1,1,1,2,1,1,1,2,3,3,3,3,3,3,5,3,3,2,4,5,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,-1,1,0,0,-1,NA,0,0,0,0,3,1,3,NA,NA,NA,NA,2,0,3,3,-1,3,0,3,NA,NA,NA,3,0,1,3,1,NA,NA,NA,2,-1,2,2,-1,2,4,-1,3,4,0,1,1,0,4,-1,1,0.666666667
102,Poland,Europe,86,105,II,1,29500,0.865,0.155522345,66.28803572,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,NQ,NQ,NQ,NA,NQ,0,1,0,0,1,0,1,1,1,0.5,0,0,0,0,0,0,3,2,2,3,3,3,6,6,2,2,3,3,2,2,2,5,5,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,3,0,4,0,5,0,3,4,0,1,1,NA,NA,1,3,1,1,NA,NA,NA,4,0,1,5,0,3,5,0,3,5,0,1,5,0,1,5,0,5,0,2,0
103,Ethiopia,Africa,52,514,II,1,2200,0.463,13.62889577,22.93889923,-1,-1,-1,0,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,0,1,1,-1,-1,1,-1,NA,0,1,-1,NQ,1,NA,NA,-1,0.5,1,1,1,1,1,1,2,3,2,2,2,2,5,5,2,1,2,1,2,2,2,3,6,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,2,1,1,1,1,4,1,5,1,1,2,1,2,1,1,4,-1,1,4,1,1,2,1,5,NA,NA,2,1,1,2,1,1,2,1,1,2,1,1,5,0,1,1,1,-0.352941176
104,Gabon,Africa,16,4458,II,1,19200,0.702,44.89662214,17.28061804,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NQ,0,0,0,0,0.2,0,0,0,0,0,0,1,2,2,2,2,3,3,3,2,3,2,4,2,3,2,2,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,2,5,0,5,0,4,0,3,5,0,4,0,2,4,0,2,4,0,2,4,0,4,0,2,3,-1,2,3,0,2,4,0,2,4,0,2,5,0,4,0,2,-0.130434783
105,Romania,Europe,36,611.9,II,1,24500,0.811,0.524628808,31.11123259,NA,0,0,0,1,-1,0,-1,0,1,1,0,1,0,0,1,1,1,1,0,NQ,NQ,NQ,0,NQ,0,1,0,0,0,0,0,0,0,0.5,0,0,1,0,1,0,2,4,3,2,2,3,4,5,2,3,2,3,3,2,2,3,2,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,NA,4,-1,1,NA,NA,4,0,2,0,1,4,0,3,0,1,4,0,1,4,-1,1,4,0,5,0,NA,4,0,2,4,0,3,4,0,1,4,0,1,5,0,5,0,2,0.212121212
106,Germany,Europe,28,93.5,II,1,50400,0.936,9.174407324,21.75380906,NA,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,-1,NA,1,NQ,NQ,NQ,NA,NQ,1,1,-1,1,0,0,1,0,0,0.75,0,0,1,0,0,0,3,3,4,4,3,3,6,6,1,4,3,2,2,1,1,4,4,1,1,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,4,0,1,4,0,3,-1,3,1,2,2,1,1,1,3,2,0,1,4,-1,1,2,1,4,0,1,5,0,3,3,-1,1,3,0,3,5,0,1,3,0,5,0,NA,-0.333333333
107,Gabon,Africa,16,965,II,1,19200,0.702,108.6337132,24.2322933,-1,-1,0,0,1,-1,0,0,0,1,1,1,-1,0,0,1,1,0,0,1,-1,1,0,0,1,1,1,-1,1,NQ,1,-1,-1,0,0.8,1,0,0,0,0,1,1,5,1,1,3,1,2,1,2,6,1,2,1,2,1,5,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-1,0,1,5,0,2,5,0,5,0,5,-1,3,2,1,2,-1,1,4,-1,1,5,1,1,3,1,3,1,1,4,-1,2,5,0,3,2,-1,3,2,0,3,5,0,3,-1,2,0.344827586
108,Namibia,Africa,10,21812,II,1,11300,0.647,0,0.223400497,NA,0,0,1,1,-1,0,0,0,1,1,0,1,1,-1,0,1,1,0,0,-1,1,1,0,1,1,1,-1,1,NQ,0,1,0,1,0.4,1,0,0,1,0,1,5,6,2,6,3,6,6,5,6,5,5,5,2,5,2,6,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,-1,NA,1,NA,NA,NA,1,4,1,1,1,1,4,0,5,0,2,1,1,5,0,2,5,0,3,1,1,1,4,0,1,1,1,3,1,2,5,0,2,1,1,2,5,0,2,5,0,5,0,2,0.333333333
109,Sweden,Europe,109,153.4,II,1,51500,0.933,2.018191218,190.0268813,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,1,NQ,NQ,NQ,0,NQ,1,1,0,0,NA,0,1,NA,1,0.75,0,0,0,0,1,0,3,6,3,4,5,1,2,6,2,5,5,5,6,6,6,4,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,NA,NA,0,0,NA,NA,NA,5,0,1,1,0,5,0,4,0,2,5,0,3,1,2,5,0,NA,5,0,3,3,1,5,0,2,4,1,2,5,0,2,2,NA,2,5,0,2,5,0,5,0,2,0.090909091
110,CAR,Africa,28,6866,VI,0,700,0.367,0,62.01059198,1,1,0,1,0,0,-1,0,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,-1,1,-1,0,0,-1,-1,NA,1,-1,NQ,NA,1,-1,-1,-1,0,0,0,0,0,0,6,4,3,2,4,1,1,1,4,6,3,6,6,5,2,6,6,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,-1,0,0,0,-1,0,3,1,3,5,0,NA,NA,5,0,3,5,0,3,1,3,5,1,2,5,1,2,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,1,3,4,0,3,NA,NA,NA,0,2,-1
