sp.code,Species name,Abundance,plot,LAT,LONG,YEAR
Adian.tome,Adiantum tomentosum,1,GZ-02-uat_L1-4500,-1.781132,-59.233507,2012
Asple.laet,Asplenium laetum,0,GZ-02-uat_L1-4500,-1.781132,-59.233507,2012
Bolbi.nico,Mickelia nicotianifolia,0,GZ-02-uat_L1-4500,-1.781132,-59.233507,2012
Bolbi.semi,Bolbitis semipinnatifida,0,GZ-02-uat_L1-4500,-1.781132,-59.233507,2012
Campy.repe,Campyloneurum repens,0,GZ-02-uat_L1-4500,-1.781132,-59.233507,2012
Cyath.pung,Cyathea pungens,0,GZ-02-uat_L1-4500,-1.781132,-59.233507,2012
cyath.sp.3G,Cyathea sp.,0,GZ-02-uat_L1-4500,-1.781132,-59.233507,2012
cyath.sp.G,Cyathea sp.,0,GZ-02-uat_L1-4500,-1.781132,-59.233507,2012
Cyclo.guia,Cyclodium guianensis,0,GZ-02-uat_L1-4500,-1.781132,-59.233507,2012
Cyclo.meni,Cyclodium meniscioides,0,GZ-02-uat_L1-4500,-1.781132,-59.233507,2012
Cyclo.semi,Cyclopeltis semicordata,0,GZ-02-uat_L1-4500,-1.781132,-59.233507,2012
Danaea.lepr,Danaea leprieurii,0,GZ-02-uat_L1-4500,-1.781132,-59.233507,2012
Danae.nodo,Danaea nodosa s.l.,0,GZ-02-uat_L1-4500,-1.781132,-59.233507,2012
Danae.trif,Danaea trifoliata,0,GZ-02-uat_L1-4500,-1.781132,-59.233507,2012
Dipla.cris,Diplazium cristatum,0,GZ-02-uat_L1-4500,-1.781132,-59.233507,2012
Dipla.gran,Diplazium grandifolium,0,GZ-02-uat_L1-4500,-1.781132,-59.233507,2012
Linds.lanc.f,Lindsaea falcata,0,GZ-02-uat_L1-4500,-1.781132,-59.233507,2012
Linds.lanc.l,Lindsaea lancea,1,GZ-02-uat_L1-4500,-1.781132,-59.233507,2012
Linds.sp9,Lindsaea sp.,0,GZ-02-uat_L1-4500,-1.781132,-59.233507,2012
Lomag.guia,Mickelia guianensis,0,GZ-02-uat_L1-4500,-1.781132,-59.233507,2012
