GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS448519033	2022-03-02 13:33:08.958952	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				3					Japan	JP	Hokkaido	JP-01							羅臼村--羅臼漁港 (Rausu--Rausu Fishing Port)	L1557969	H	44.0191736	145.1954601	2016-02-11	14:30:00	obsr535429	S32970179	Incidental	P20	EBIRD				11	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1002185493	2020-10-25 12:17:25	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				6					Japan	JP	Hokkaido	JP-01							羅臼町--松法町港 (Rausu--Matsunoricho Harbor)	L5442799	H	43.9883530	145.1652718	2016-02-10	08:00:00	obsr675279	S75382435	Traveling	P22	EBIRD	60	0.805		2	1	G5840583	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS798791873	2019-08-27 01:19:10	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				2					Japan	JP	Hokkaido	JP-01							Coastal ports to Rausu	L9844134	P	43.9801354	144.8705625	2016-02-09	13:03:00	obsr653766	S59300432	Traveling	P22	EBIRD	180	40.000		10	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1002242331	2020-10-25 14:58:26	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				2					Japan	JP	Hokkaido	JP-01							根室市--春国岱原生野鳥公園 (Nemuro--Shunkunitai Wild Bird Sanctuary)	L1236840	H	43.2732044	145.4606473	2016-02-11	08:00:00	obsr675279	S75387738	Traveling	P22	EBIRD	60	1.609		2	1	G5841304	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1153682948	2021-05-15 09:54:34.336306	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				X					Japan	JP	Hokkaido	JP-01							苫小牧市--ウトナイ湖サンクチュアリ (Tomakomai--Lake Utonai Sanctuary)	L7187790	H	42.7044579	141.7097631	2016-02-11	09:00:00	obsr1106799	S87971645	Traveling	P22	EBIRD	180	4.828		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS829041688	2021-03-31 22:07:17.571497	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				5					Japan	JP	Hokkaido	JP-01							羅臼村--羅臼漁港 (Rausu--Rausu Fishing Port)	L1557969	H	44.0191736	145.1954601	2016-02-25	07:15:00	obsr500693	S61535323	Traveling	P22	EBIRD	225	3.000		2	1		1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS798793000	2019-08-27 01:32:46	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				150					Japan	JP	Hokkaido	JP-01							Ports and Notsuke Peninsula	L9844157	P	43.5984710	145.1961109	2016-02-10	08:30:00	obsr653766	S59300520	Traveling	P22	EBIRD	420	40.000		10	1		1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS374845796	2021-03-31 22:07:17.571497	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				X					Japan	JP	Hokkaido	JP-01							釧路市--釧路市阿寒国際ツルセンター (Kushiro City--Kushiro Akan International Crane Center)	L3109078	H	43.1433875	144.1491920	2016-02-17	12:26:00	obsr85918	S27642807	Stationary	P21	EBIRD	120			2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS375138328	2016-05-17 10:46:21	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				1					Japan	JP	Hokkaido	JP-01							鶴居村--音羽橋 (Tsurui--Otowa Bridge)	L1113182	H	43.1877418	144.3342188	2016-02-16	07:30:00	obsr583260	S27665061	Stationary	P21	EBIRD_CAN	60			9	1		0	1	0		I presume this is the Otowa Bridge on the Setsurigawa River. This is where we birded along with 135 other birders we watched 165 Red-crowned Cranes on the river.		
URN:CornellLabOfOrnithology:EBIRD:OBS829087173	2019-11-17 18:34:15	7973	species	avibase-C481FB24	Steller's Sea-Eagle	Haliaeetus pelagicus				3					Japan	JP	Hokkaido	JP-01							厚岸町--厚岸道立自然公園 (Akkeshi--Akkeshi Prefectural Natural Park)	L932759	H	43.0197174	144.8416954	2016-02-22	06:00:00	obsr500693	S61538822	Traveling	P22	EBIRD	560	8.000		2	1		0	1	0				
