"","Tube","plotnr","vegtype","treatment","growth","sampling","doy","snowmelt_doy","growth_area","day_difference","growth.cumulative.Sum"
"49",40,"4","heath","early",1.463284,5,146,133,0.0131970057720058,13,0.0131970057720058
"50",40,"4","heath","early",6.27505,6,153,133,0.0565931637806638,20,0.0697901695526696
"51",40,"4","heath","early",5.614304,7,162,133,0.0506340548340548,29,0.120424224386724
"52",40,"4","heath","early",6.345745,8,169,133,0.057230744949495,36,0.177654969336219
"53",40,"4","heath","early",13.237812,9,176,133,0.119388636363636,43,0.297043605699856
"54",40,"4","heath","early",43.912251,10,183,133,0.39603400974026,50,0.693077615440115
"55",41,"5","heath","control",NA,2,128,143,NA,-15,NA
"56",41,"5","heath","control",0,3,133,143,0,-10,0
"57",41,"5","heath","control",0,4,139,143,0,-4,0
"58",41,"5","heath","control",1.932917,5,146,143,0.0174325126262626,3,0.0174325126262626
"59",41,"5","heath","control",0,6,153,143,0,10,0.0174325126262626
"60",41,"5","heath","control",0,7,162,143,0,19,0.0174325126262626
"61",41,"5","heath","control",4.580938,8,169,143,0.0413143759018759,26,0.0587468885281385
"62",41,"5","heath","control",22.473625,9,176,143,0.202684208152958,33,0.261431096681097
"63",41,"5","heath","control",18.674892,10,183,143,0.168424350649351,40,0.429855447330447
"64",42,"5","heath","early",NA,2,128,133,NA,-5,NA
"65",42,"5","heath","early",0,3,133,133,0,0,0
"66",42,"5","heath","early",3.217598,4,139,133,0.029018740981241,6,0.029018740981241
"67",42,"5","heath","early",3.787407,5,146,133,0.034157711038961,13,0.063176452020202
"68",42,"5","heath","early",2.238658,6,153,133,0.020189917027417,20,0.083366369047619
"69",42,"5","heath","early",0,7,162,133,0,29,0.083366369047619
"70",42,"5","heath","early",0,8,169,133,0,36,0.083366369047619
"71",42,"5","heath","early",0.723743,9,176,133,0.00652726370851371,43,0.0898936327561328
"72",42,"5","heath","early",5.214545,10,183,133,0.0470287247474747,50,0.136922357503608
"73",43,"6","heath","control",NA,2,128,143,NA,-15,NA
"74",43,"6","heath","control",0,3,133,143,0,-10,0
"75",43,"6","heath","control",0,4,139,143,0,-4,0
"76",43,"6","heath","control",0,5,146,143,0,3,0
"77",43,"6","heath","control",0,6,153,143,0,10,0
"78",43,"6","heath","control",0,7,162,143,0,19,0
"79",43,"6","heath","control",0,8,169,143,0,26,0
"80",43,"6","heath","control",1.319785,9,176,143,0.0119028228715729,33,0.0119028228715729
"81",43,"6","heath","control",3.073307,10,183,143,0.0277174152236652,40,0.0396202380952381
"82",44,"6","heath","early",NA,2,128,129,NA,-1,NA
"83",44,"6","heath","early",0,3,133,129,0,4,0
"84",44,"6","heath","early",0,4,139,129,0,10,0
"85",44,"6","heath","early",0,5,146,129,0,17,0
"86",44,"6","heath","early",0,6,153,129,0,24,0
"87",44,"6","heath","early",0,7,162,129,0,33,0
"88",44,"6","heath","early",0,8,169,129,0,40,0
"89",44,"6","heath","early",0,9,176,129,0,47,0
"90",44,"6","heath","early",5.828725,10,183,129,0.0525678661616162,54,0.0525678661616162
"91",45,"7","heath","control",NA,2,128,143,NA,-15,NA
"92",45,"7","heath","control",0,3,133,143,0,-10,0
"93",45,"7","heath","control",0,4,139,143,0,-4,0
"94",45,"7","heath","control",0,5,146,143,0,3,0
"95",45,"7","heath","control",0.636605,6,153,143,0.00574138708513709,10,0.00574138708513709
"96",45,"7","heath","control",1.369623,7,162,143,0.0123522997835498,19,0.0180936868686869
"97",45,"7","heath","control",4.967099,8,169,143,0.0447970689033189,26,0.0628907557720058
"98",45,"7","heath","control",12.429516,9,176,143,0.11209880952381,33,0.174989565295815
