date,UTC_time_day_location,satcount_day_location,hdop_day_location,speed_km_h,id_factor,UTC_time_night_location,lat_night_location,lon_night_location,used,lon_day_location,lat_day_location,species,crop_original_text,crop_category
11/08/2022,14:11:42,7,1,1,id_201845,00:11:41,59.17251,15.41642,1,15.39198,59.18089,crane,Slatter och betesvall pa akermark,ley
02/08/2022,16:11:49,8,1,0,id_201845,00:11:42,59.17992,15.40398,1,15.39145,59.18287,crane,Slatter och betesvall pa akermark,ley
03/08/2022,18:11:48,7,1,0,id_201845,00:11:40,59.17944,15.40395,1,15.39333,59.18433,crane,Slatter och betesvall pa akermark,ley
12/08/2022,04:11:32,9,1,1,id_201845,00:11:46,59.17852,15.39367,1,15.39882,59.18288,crane,Slatter och betesvall pa akermark,ley
11/08/2022,04:11:34,4,2,0,id_201845,00:11:41,59.17251,15.41642,1,15.40097,59.18794,crane,Slatter och betesvall pa akermark,ley
11/05/2022,17:12:53,7,1,0,id_201845,00:13:18,59.16566,15.39208,0,15.32666522,59.20789409,crane,Slatter och betesvall pa akermark,ley
11/05/2022,16:12:53,6,1,0,id_201845,00:13:18,59.16566,15.39208,0,15.37063524,59.17319985,crane,Slatter och betesvall pa akermark,ley
12/05/2022,04:12:52,6,1,0,id_201845,00:12:52,59.1641,15.39193,0,15.2421743,59.18300401,crane,Slatter och betesvall pa akermark,ley
24/07/2022,14:11:49,7,1,0,id_201845,00:11:51,59.16126,15.38583,0,15.30699782,59.18018734,crane,Slatter och betesvall pa akermark,ley
25/07/2022,15:11:48,12,1,0,id_201845,00:11:48,59.16117,15.38544,0,15.29946772,59.18297414,crane,Slatter och betesvall pa akermark,ley
02/08/2022,05:11:42,7,1,0,id_201845,00:11:42,59.17992,15.40398,0,15.26709456,59.19602415,crane,Slatter och betesvall pa akermark,ley
03/08/2022,16:11:40,10,1,0,id_201845,00:11:40,59.17944,15.40395,0,15.30839558,59.17797828,crane,Slatter och betesvall pa akermark,ley
04/08/2022,17:11:40,12,1,0,id_201845,00:11:40,59.1613,15.38614,0,15.26376365,59.19246562,crane,Slatter och betesvall pa akermark,ley
07/08/2022,11:11:40,7,1,0,id_201845,00:11:39,59.16324,15.38835,0,15.37001085,59.14196875,crane,Slatter och betesvall pa akermark,ley
11/08/2022,15:11:39,5,1,0,id_201845,00:11:41,59.17251,15.41642,0,15.23872596,59.20127687,crane,Slatter och betesvall pa akermark,ley
11/08/2022,11:11:39,7,1,0,id_201845,00:11:41,59.17251,15.41642,0,15.30805378,59.1692029,crane,Slatter och betesvall pa akermark,ley
22/07/2022,17:11:52,8,1,1,id_201845,00:11:59,59.1613,15.38629,1,15.41074,59.19764,crane,Slatter och betesvall pa akermark,ley
24/07/2022,06:11:49,10,1,0,id_201845,00:11:51,59.16126,15.38583,1,15.39642,59.15509,crane,Slatter och betesvall pa akermark,ley
25/07/2022,16:11:50,5,1,0,id_201845,00:11:48,59.16117,15.38544,1,15.39523,59.15626,crane,Slatter och betesvall pa akermark,ley
02/08/2022,15:11:42,8,1,0,id_201845,00:11:42,59.17992,15.40398,1,15.39286,59.18321,crane,Slatter och betesvall pa akermark,ley
03/08/2022,19:11:49,8,1,0,id_201845,00:11:40,59.17944,15.40395,1,15.39161,59.18455,crane,Slatter och betesvall pa akermark,ley
04/08/2022,17:11:40,12,1,0,id_201845,00:11:40,59.1613,15.38614,1,15.39886,59.15704,crane,Slatter och betesvall pa akermark,ley
05/08/2022,17:12:10,9,1,0,id_201845,00:11:44,59.16148,15.38565,1,15.40713,59.19643,crane,Slatter och betesvall pa akermark,ley
05/08/2022,03:11:39,8,1,0,id_201845,00:11:44,59.16148,15.38565,1,15.3937,59.185,crane,Slatter och betesvall pa akermark,ley
11/08/2022,13:11:34,11,1,0,id_201845,00:11:41,59.17251,15.41642,1,15.39072,59.18263,crane,Slatter och betesvall pa akermark,ley
12/08/2022,07:11:34,5,1,0,id_201845,00:11:46,59.17852,15.39367,1,15.39264,59.18072,crane,Slatter och betesvall pa akermark,ley
12/08/2022,06:11:33,8,1,0,id_201845,00:11:46,59.17852,15.39367,1,15.39061,59.18273,crane,Slatter och betesvall pa akermark,ley
13/08/2022,06:11:37,5,1,0,id_201845,00:11:49,59.17271,15.41693,1,15.40303,59.188,crane,Slatter och betesvall pa akermark,ley
13/08/2022,04:11:36,7,1,0,id_201845,00:11:49,59.17271,15.41693,1,15.40168,59.18817,crane,Slatter och betesvall pa akermark,ley
08/08/2022,16:11:44,7,1,1,id_201845,00:11:37,59.16125,15.38562,1,15.39716,59.15523,crane,Slatter och betesvall pa akermark,ley
13/08/2022,11:11:35,5,1,0,id_201845,00:11:49,59.17271,15.41693,1,15.38916,59.18206,crane,Slatter och betesvall pa akermark,ley
14/08/2022,16:11:32,5,2,0,id_201845,00:11:36,59.17288,15.41714,1,15.40451,59.18595,crane,Slatter och betesvall pa akermark,ley
16/08/2022,15:11:33,5,2,0,id_201845,00:11:30,59.17173,15.41666,1,15.39214,59.18112,crane,Slatter och betesvall pa akermark,ley
25/07/2022,17:11:48,14,1,0,id_201845,00:11:48,59.16117,15.38544,0,15.24477987,59.1645734,crane,Slatter och betesvall pa akermark,ley
03/08/2022,18:11:48,7,1,0,id_201845,00:11:40,59.17944,15.40395,0,15.3023869,59.17566441,crane,Slatter och betesvall pa akermark,ley
05/08/2022,16:11:42,6,1,0,id_201845,00:11:44,59.16148,15.38565,0,15.37665629,59.18945662,crane,Slatter och betesvall pa akermark,ley
11/08/2022,12:11:35,5,2,1,id_201845,00:11:41,59.17251,15.41642,1,15.39089,59.18264,crane,Slatter och betesvall pa akermark,ley
02/08/2022,19:11:41,9,1,0,id_201845,00:11:42,59.17992,15.40398,0,15.30319084,59.16646163,crane,Slatter och betesvall pa akermark,ley
11/08/2022,18:11:34,5,1,1,id_201845,00:11:41,59.17251,15.41642,0,15.30444654,59.20214393,crane,Slatter och betesvall pa akermark,ley
11/08/2022,14:11:42,7,1,1,id_201845,00:11:41,59.17251,15.41642,0,15.33888528,59.21060334,crane,Slatter och betesvall pa akermark,ley
25/07/2022,15:11:48,12,1,0,id_201845,00:11:48,59.16117,15.38544,1,15.39645,59.15613,crane,Slatter och betesvall pa akermark,ley
