Mpala structural data,,,,,,,,,,,,,Ilmotiok structural data,,,,,,,,
S/Transect,ALL,SpCode,DKH,Basal area (sq cm),Hmin,Hmax,CanDepth,CrwnDiam,CanArea     = ?D1D2/4 ,CanVol ,,,SpCode,DKH,Basal area (sq cm),Hmin,Hmax,CanDepth,CrwnDiam,CanArea     = ?D1D2/4 ,CanVol 
M1,M112,ACACBR,1,0.79,0.3,1.13,0.83,0.98,0.73,0.41,,,ACACME,5.3,22.05,0.8,2.81,2.01,2.26,4,5.37
M1,M112,ACACBR,1.2,1.13,0.5,1.32,0.82,0.6,0.27,0.15,,,ACACME,10,78.50,0.71,3.06,2.35,3.55,9.76,15.29
M1,M112,ACACBR,1.7,2.27,0.5,1.13,0.63,0.68,0.35,0.15,,,ACACME,12,113.04,0.9,4.34,3.44,3.86,11.19,25.67
M1,M112,ACACBR,1.9,2.83,0.44,0.46,0.02,0.88,0.61,0.01,,,ACACME,11.6,105.63,0.03,1.2,1.17,4.49,15.72,12.26
M1,M112,ACACBR,1.5,1.77,0.35,1.34,0.99,0.7,0.38,0.25,,,ACACET,3.5,9.62,0.7,1.62,0.92,2.42,4.57,2.8
M1,M112,ACACBR,1.7,2.27,1.1,1.57,0.47,0.88,0.6,0.19,,,ACACME,6.1,29.21,1.16,2.26,1.1,2.9,6.53,4.79
M1,M112,ACACBR,1.6,2.01,0.56,1.22,0.66,0.93,0.61,0.27,,,ACACET,8,50.24,0.9,3.39,2.49,2.8,6.04,10.02
M1,M112,ACACBR,2,3.14,0.8,1.54,0.74,1.1,0.94,0.46,,,ACACME,6.1,29.21,1.06,3.31,2.25,3.43,9.16,13.74
M1,M112,ACACBR,1.6,2.01,0.5,1.54,1.04,1.28,1.25,0.87,,,ACACME,6.7,35.24,0.65,2.19,1.54,2.06,3.28,3.37
M1,M112,ACACBR,1.6,2.01,1,1.47,0.47,0.75,0.41,0.13,,,ACACME,9.1,65.01,0.74,3.04,2.3,3.26,7.83,12
M1,M112,ACACBR,1.6,2.01,0.3,1.55,1.25,0.84,0.55,0.46,,,ACACME,5.6,24.62,1,2.27,1.27,4.05,12.17,10.3
M1,M112,ACACET,14.8,171.95,0.6,2.79,2.19,2.75,5.41,7.89,,,ACACME,7.7,46.54,1.03,3.76,2.73,3.16,7.12,12.95
M1,M112,ACACBR,2.8,6.15,0.3,1.2,0.9,0.9,0.63,0.38,,,ACACME,5.5,23.75,0.86,2.57,1.71,2.88,6.42,7.32
M1,M112,ACACBR,1.8,2.54,0.2,1.44,1.24,0.6,0.27,0.23,,,ACACET,8.3,54.08,0.78,3.38,2.6,2.86,6.31,10.93
M1,M112,ACACBR,1.6,2.01,0.5,1.72,1.22,0.5,0.2,0.16,,,ACACET,11.6,105.63,0.93,3.56,2.63,3.13,7.67,13.44
M1,M112,ACACBR,2,3.14,0.25,1.1,0.85,0.45,0.16,0.09,,,ACACME,8,50.24,0.7,4.52,3.82,2.44,4.59,11.68
M1,M112,ACACBR,2.1,3.46,0.4,1.4,1,0.83,0.52,0.35,,,ACACME,12.1,114.93,1.74,4.41,2.67,2.87,6.27,11.16
M1,M112,ACACBR,2.8,6.15,0.4,1.39,0.99,0.5,0.19,0.12,,,ACACME,9.8,75.39,0.86,3.87,3.01,2.99,6.98,14.01
M1,M112,ACACBR,2.4,4.52,0.7,1.14,0.44,0.7,0.38,0.11,,,ACACET,3.2,8.04,0.82,2.13,1.31,2.5,4.74,4.14
M1,M112,ACACBR,2.8,6.15,0.78,1.17,0.39,1.11,0.95,0.25,,,ACACET,2.7,5.72,0.6,1.59,0.99,1.72,2.31,1.53
M1,M112,ACACBR,1.8,2.54,0.63,1.16,0.53,0.74,0.42,0.15,,,ACACME,8.4,55.39,1.1,3.25,2.15,4.19,13.71,19.64
M1,M112,ACACET,11.8,109.30,1.97,4.01,2.04,2.09,3.38,4.6,,,ACACET,8.3,54.08,0.74,3.41,2.67,2.76,5.69,10.12
M1,M112,ACACBR,1.6,2.01,0.48,1.4,0.92,0.63,0.31,0.19,,,ACACET,3.7,10.75,0.5,2.38,1.88,2.11,3.47,4.35
M1,M112,ACACBR,2.1,3.46,0.5,1.49,0.99,0.77,0.46,0.31,,,ACACME,4.9,18.85,1.22,3.68,2.46,4.2,13.77,22.59
M1,M112,ACACBR,1.5,1.77,0.44,1.13,0.69,0.59,0.26,0.12,,,ACACME,4.9,18.85,1,1.92,0.92,2.64,5.27,3.23
M1,M112,ACACBR,1.3,1.33,0.43,0.87,0.44,0.33,0.08,0.02,,,ACACET,5.5,23.75,0.7,1.27,0.57,2.12,3.51,1.33
M1,M112,ACACET,15,176.63,1.39,3.1,1.71,2.15,3.6,4.1,,,ACACET,6.3,31.16,1.1,3.38,2.28,1.65,2.1,3.19
M1,M112,ACACET,10.4,84.91,1.39,3.44,2.05,1.9,2.82,3.85,,,ACACME,7.6,45.34,0.6,3.82,3.22,3.85,11.53,24.76
M1,M112,ACACBR,2.2,3.80,1.39,3.44,2.05,1.9,2.82,3.85,,,ACACME,5.9,27.33,0.84,2.48,1.64,2.79,5.72,6.25
M1,M112,ACACBR,2.1,3.46,0.9,1.36,0.46,0.73,0.41,0.13,,,ACACME,3.5,9.62,0.5,2.57,2.07,1.8,2.43,3.35
M1,M112,ACACBR,1.6,2.01,0.8,1.34,0.54,0.78,0.47,0.17,,,ACACME,4.4,15.20,0.3,3.5,3.2,3.7,10.74,22.91
M1,M112,ACACBR,1.6,2.01,0.52,1.39,0.87,0.47,0.16,0.09,,,ACACME,7.8,47.76,0.9,3.63,2.73,3.49,9.53,17.35
M1,M112,ACACBR,2.1,3.46,0.66,1.16,0.5,0.36,0.1,0.03,,,ACACME,5.2,21.23,1,3.11,2.11,3.36,8.7,12.23
M1,M112,ACACBR,1.9,2.83,0.48,0.98,0.5,0.39,0.12,0.04,,,ACACME,4.6,16.61,0.3,3.1,2.8,2.3,4.12,7.69
M1,M112,ACACBR,1.1,0.95,0.53,1.11,0.58,0.43,0.14,0.05,,,ACACME,7.9,48.99,0.7,2.22,1.52,2.79,5.98,6.06
M1,M112,ACACBR,2,3.14,0.66,1.39,0.73,0.67,0.33,0.16,,,ACACME,6.7,35.24,1,2.5,1.5,2.78,6.02,6.02
M1,M112,ACACBR,1.4,1.54,0.34,1.13,0.79,0.33,0.08,0.04,,,ACACME,6.9,37.37,0.9,2.94,2.04,3.93,11.56,15.72
M1,M112,ACACBR,2.8,6.15,0.77,1.25,0.48,0.72,0.4,0.13,,,ACACET,10.1,80.08,0.7,3.84,3.14,3.49,9.5,19.88
M1,M112,ACACBR,1.5,1.77,0.84,1.68,0.84,1.25,1.19,0.66,,,ACACET,11.3,100.24,1.93,4.51,2.58,3.38,8.94,15.37
M1,M112,ACACBR,1.9,2.83,0.62,1.67,1.05,0.43,0.14,0.1,,,ACACET,4.7,17.34,1,2.9,1.9,2.08,3.38,4.29
M1,M112,ACACBR,2.1,3.46,0.58,1,0.42,0.43,0.14,0.04,,,ACACET,5.8,26.41,1.2,2.28,1.08,2.75,5.93,4.27
M1,M112,ACACBR,1.2,1.13,1.08,1.38,0.3,0.63,0.3,0.06,,,ACACET,9.5,70.85,1,3.88,2.88,2.5,4.84,9.28
M1,M112,ACACBR,2.2,3.80,0.45,0.85,0.4,0.45,0.14,0.04,,,ACACET,6.3,31.16,0.5,2.09,1.59,1.93,2.83,3
M1,M112,ACACBR,2.1,3.46,0.4,0.9,0.5,0.67,0.31,0.1,,,ACACET,8.7,59.42,0.67,2.28,1.61,2.16,3.66,3.93
M1,M112,ACACET,13.2,136.78,0.85,2.57,1.72,2.7,5.7,6.54,,,ACACET,9.1,65.01,0.7,3.46,2.76,2.68,5.61,10.33
M1,M112,ACACBR,3.2,8.04,0.77,1.15,0.38,1.05,0.71,0.18,,,ACACET,11.5,103.82,1,2.36,1.36,2.39,4.48,4.07
M1,M112,ACACBR,2.1,3.46,0.8,1.65,0.85,0.77,0.46,0.26,,,ACACME,10.4,84.91,0.7,3.15,2.45,4.39,14.61,23.86
M1,M112,ACACBR,1.9,2.83,0.95,1.52,0.57,0.89,0.61,0.23,,,ACACME,8.9,62.18,0.5,4.1,3.6,4.69,17.27,41.44
M1,M112,ACACBR,1.6,2.01,0.6,0.7,0.1,0.38,0.11,0.01,,,ACACET,9.5,70.85,1,3.63,2.63,2.95,6.78,11.89
M1,M112,ACACBR,2,3.14,0.72,1.49,0.77,1.3,1.14,0.58,,,ACACET,8.3,54.08,0.9,4.33,3.43,3.29,8.47,19.36
M1,M112,ACACBR,2,3.14,0.6,1.69,1.09,0.79,0.48,0.35,,,ACACET,10.5,86.55,0.6,4.64,4.04,3.69,10.68,28.76
M1,M112,ACACBR,1.9,2.83,0.73,1.03,0.3,0.6,0.27,0.05,,,ACACET,9.9,76.94,1.22,2.92,1.7,2.43,4.58,5.19
M1,M112,ACACBR,2,3.14,0.77,1.1,0.33,0.5,0.19,0.04,,,ACACME,5.4,22.89,0.8,3.42,2.62,4.43,15.37,26.84
M1,M112,ACACBR,1.7,2.27,0.62,1.25,0.63,0.73,0.42,0.18,,,ACACME,9.4,69.36,0.6,4.14,3.54,7.04,38.58,91.06
M1,M112,ACACBR,2,3.14,0.45,1.52,1.07,0.75,0.44,0.31,,,ACACME,4.3,14.51,0.66,2.26,1.6,2.39,4.44,4.73
M1,M112,ACACBR,1.9,2.83,0.5,1.4,0.9,0.65,0.33,0.2,,,ACACME,6.7,35.24,0.66,3.73,3.07,5.28,21.62,44.25
M1,M112,ACACBR,2.2,3.80,0.75,1.15,0.4,1.22,1.06,0.28,,,ACACME,6.8,36.30,0.6,4.39,3.79,6.23,30.29,76.54
M1,M112,ACACBR,1.7,2.27,0.5,1.25,0.75,0.71,0.35,0.18,,,ACACME,6.5,33.17,1,3.51,2.51,4.78,16.9,28.29
M1,M112,ACACBR,2.3,4.15,0.65,1.1,0.45,0.55,0.22,0.07,,,ACACME,5.3,22.05,0.85,3.65,2.8,5.04,19.44,36.29
M1,M112,ACACBR,2.5,4.91,0.6,1.05,0.45,0.53,0.22,0.06,,,ACACME,6.6,34.19,1.1,4.12,3.02,4.62,16.7,33.63
M1,M112,ACACBR,1.8,2.54,0.39,0.98,0.59,0.76,0.45,0.18,,,ACACME,6.7,35.24,0.84,4.09,3.25,3.52,9.7,21.01
M1,M112,ACACBR,2.8,6.15,0.6,1,0.4,0.9,0.63,0.17,,,ACACME,5.8,26.41,0.7,3.37,2.67,4.24,13.49,24.02
M1,M112,ACACBR,1.8,2.54,0.7,1.67,0.97,0.9,0.63,0.41,,,ACACME,4,12.56,0.6,1.69,1.09,2.81,6.2,4.5
M1,M112,ACACBR,2.2,3.80,1.38,1.88,0.5,0.43,0.14,0.05,,,ACACME,5.9,27.33,0.4,2.92,2.52,4.38,14.88,25
M1,M112,ACACBR,1.8,2.54,0.7,1.87,1.17,0.86,0.58,0.45,,,ACACME,5.4,22.89,1,3.17,2.17,3.33,8.67,12.55
M1,M112,ACACBR,1.8,2.54,0.8,1.25,0.45,0.58,0.26,0.08,,,ACACME,6.8,36.30,0.9,2.45,1.55,3.38,7.98,8.25
M1,M112,ACACBR,1.8,2.54,0.95,1.2,0.25,0.48,0.18,0.03,,,ACACME,8.7,59.42,0.99,3.63,2.64,4.45,15.48,27.25
M1,M112,ACACBR,2.8,6.15,0.64,1.15,0.51,0.71,0.4,0.13,,,ACACME,7.5,44.16,1,4.12,3.12,4.89,18.08,37.6
M1,M112,ACACBR,1.8,2.54,0.82,1.15,0.33,0.98,0.74,0.16,,,ACACME,5.7,25.50,1.01,3.97,2.96,4.19,13.35,26.34
M1,M112,ACACBR,1.4,1.54,0.4,0.75,0.35,0.47,0.17,0.04,,,ACACME,6.5,33.17,0.9,2.82,1.92,3.43,9.01,11.53
M1,M112,ACACBR,1.9,2.83,0.37,1.06,0.69,0.42,0.13,0.06,,,ACACET,3.5,9.62,0.65,1.59,0.94,2.43,4.58,2.87
M1,M112,ACACBR,1.8,2.54,0.3,1,0.7,0.95,0.7,0.33,,,ACACME,8.6,58.06,0.78,3.73,2.95,6.04,28.63,56.31
M1,M112,ACACBR,2.1,3.46,0.6,0.8,0.2,0.66,0.32,0.04,,,ACACME,8.2,52.78,1.22,4.47,3.25,4.55,16.14,34.97
M1,M112,ACACBR,1.8,2.54,0.5,0.95,0.45,0.63,0.31,0.09,,,ACACET,5.4,22.89,0.88,2.09,1.21,2.4,4.52,3.65
M1,M113,ACACBR,2,3.14,0.4,1.55,1.15,1.37,1.47,1.13,,,ACACET,15.7,193.49,0.6,3.71,3.11,4.1,13.14,27.24
M1,M113,ACACBR,1,0.79,0.6,1.73,1.13,1.25,1.21,0.91,,,ACACET,7.8,47.76,1.22,3.09,1.87,3.64,10.33,12.87
M1,M113,ACACBR,2.3,4.15,0.3,0.9,0.6,0.87,0.55,0.22,,,ACACET,4.7,17.34,1.21,3.51,2.3,3,7.02,10.77
M1,M113,ACACBR,2.4,4.52,0.4,1.7,1.3,2.63,5.36,4.64,,,ACACME,5.2,21.23,0.7,2.75,2.05,2.79,6.1,8.34
M1,M113,ACACBR,1.4,1.54,0.7,1.36,0.66,0.63,0.29,0.13,,,ACACET,3.2,8.04,0.3,1.85,1.55,2.05,3.29,3.4
M1,M113,ACACBR,2,3.14,0.3,2.34,2.04,0.95,0.71,0.96,,,ACACME,5.4,22.89,0.9,3.92,3.02,4.54,16.15,32.52
M1,M113,ACACBR,2.6,5.31,0.5,2.23,1.73,0.6,0.27,0.32,,,ACACME,5.8,26.41,0.68,2.95,2.27,3.83,11.41,17.27
M1,M113,ACACBR,2.6,5.31,0.5,1.93,1.43,2,3.14,2.99,,,ACACTO,9.6,72.35,0.8,3.26,2.46,3.55,9.89,16.21
M1,M113,ACACBR,1.7,2.27,0.8,1.58,0.78,0.83,0.53,0.28,,,ACACET,7.7,46.54,1.1,5.69,4.59,7.15,39.63,121.26
M1,M113,ACACBR,1.8,2.54,0.4,1.84,1.44,0.8,0.49,0.47,,,ACACET,14,153.86,0.8,3.63,2.83,4.98,19.37,36.54
M1,M113,ACACBR,2.8,6.15,0.35,1.82,1.47,0.9,0.63,0.62,,,ACACET,10.2,81.67,1,3.06,2.06,3.76,10.98,15.08
M1,M113,ACACBR,2.9,6.60,0.4,1.52,1.12,0.98,0.73,0.55,,,ACACME,7.1,39.57,0.2,3.22,3.02,4.13,13.25,26.67
M1,M113,ACACBR,2.3,4.15,0.5,1.55,1.05,0.84,0.55,0.39,,,ACACET,8.7,59.42,0.8,4.06,3.26,4.51,15.84,34.41
M1,M113,ACACBR,1.7,2.27,0.7,1.58,0.88,1.31,1.33,0.78,,,ACACME,7.2,40.69,1.57,4.13,2.56,4.96,19.2,32.77
M1,M113,ACACBR,2.8,6.15,1.37,2.23,0.86,1.94,2.85,1.63,,,ACACME,6.7,35.24,1.1,3.04,1.94,2.79,5.93,7.66
M1,M113,ACACBR,3.9,11.94,0.55,1.7,1.15,0.78,0.47,0.36,,,ACACME,6.7,35.24,2.21,4.22,2.01,2.73,5.8,7.77
M1,M113,ACACBR,2.3,4.15,0.62,1.88,1.26,1,0.78,0.65,,,ACACET,7,38.47,1.2,3.38,2.18,3.82,11.36,16.51
M1,M113,ACACBR,1.7,2.27,0.9,1.21,0.31,0.95,0.71,0.15,,,ACACET,8.8,60.79,0.64,2.48,1.84,2.41,4.54,5.57
M1,M113,ACACBR,2.6,5.31,0.6,1.8,1.2,1.21,1.15,0.92,,,ACACME,7.4,42.99,1.22,3.82,2.6,4.88,18.57,32.19
M1,M113,ACACET,15.6,191.04,1.58,3.2,1.62,2.63,5.43,5.86,,,ACACTO,3.8,11.34,0.7,1.59,0.89,2.08,3.34,1.98
M1,M113,ACACBR,2.4,4.52,0.65,1.55,0.9,0.78,0.46,0.28,,,ACACME,6.5,33.17,0.9,2.96,2.06,2.82,6.19,8.51
M1,M113,ACACBR,1.5,1.77,0.45,0.85,0.4,0.58,0.26,0.07,,,ACACTO,8.8,60.79,0.6,2.57,1.97,2.74,5.85,7.69
M1,M113,ACACBR,2.1,3.46,0.55,1.1,0.55,0.28,0.05,0.02,,,ACACME,7.9,48.99,0.7,2.8,2.1,3.05,7.24,10.13
M1,M113,ACACBR,2.3,4.15,0.7,1.57,0.87,1.43,1.55,0.9,,,ACACME,5.6,24.62,0.5,2.95,2.45,2.78,6.01,9.81
M1,M113,ACACBR,2,3.14,0.4,1.47,1.07,1.19,1.08,0.77,,,ACACME,8.6,58.06,0.7,4.19,3.49,4.29,14.33,33.34
M1,M113,ACACBR,2.2,3.80,0.3,1.34,1.04,0.78,0.45,0.31,,,ACACME,5.6,24.62,0.4,3.97,3.57,4.29,14.33,34.11
M1,M113,ACACBR,2.1,3.46,0.7,1.1,0.4,0.9,0.63,0.17,,,ACACME,2.7,5.72,0.4,1,0.6,2.64,5.12,2.05
M1,M113,ACACBR,2.1,3.46,0.2,0.9,0.7,0.58,0.25,0.12,,,ACACTO,4.6,16.61,0.6,1.92,1.32,2.43,4.6,4.05
M1,M113,ACACBR,2.2,3.80,0.55,1.46,0.91,0.7,0.38,0.23,,,ACACME,8.7,59.42,1.1,4.41,3.31,5.53,23.97,52.89
M1,M113,ACACBR,2.2,3.80,0.55,1.33,0.78,1.05,0.86,0.45,,,ACACTO,4.3,14.51,0.2,1.51,1.31,1.87,2.7,2.36
M1,M113,ACACBR,2,3.14,0.2,1.1,0.9,0.9,0.6,0.36,,,ACACME,3.2,8.04,0.6,1.54,0.94,2.18,3.65,2.28
M1,M113,ACACME,9.2,66.44,0.8,2.39,1.59,2.88,6.46,6.85,,,ACACTO,5.3,22.05,0.7,2.24,1.54,2.82,6.08,6.24
M1,M113,ACACBR,3.3,8.55,0.95,1.48,0.53,0.7,0.31,0.11,,,ACACTO,7.4,42.99,0.6,2.31,1.71,2.75,5.91,6.74
M1,M113,ACACET,5.4,22.89,0.7,2.5,1.8,2.18,3.71,4.45,,,ACACTO,9.5,70.85,0.4,2.3,1.9,4.1,13.06,16.54
M1,M113,ACACET,8.4,55.39,0.8,3.6,2.8,2.41,4.54,8.47,,,ACACTO,10.3,83.28,0.6,2.93,2.33,5.02,19.78,30.73
M1,M113,ACACET,9.6,72.35,0.6,2.97,2.37,2.84,6.31,9.97,,,ACACME,5.5,23.75,0.5,3.13,2.63,2.9,6.57,11.52
M1,M113,ACACBR,1.8,2.54,0.5,1.52,1.02,0.7,0.38,0.26,,,ACACTO,7.4,42.99,0.7,2.1,1.4,3.58,10.03,9.36
M1,M113,ACACBR,2.2,3.80,0.5,1.7,1.2,0.7,0.38,0.31,,,ACACTO,7.2,40.69,0.5,2.56,2.06,3.26,8.31,11.41
M1,M113,ACACBR,2.8,6.15,0.2,1.35,1.15,0.36,0.1,0.08,,,ACACTO,8,50.24,0.5,3.25,2.75,3.85,11.52,21.11
M1,M113,ACACBR,2.6,5.31,0.4,1.4,1,0.95,0.71,0.47,,,ACACME,15.3,183.76,1.22,4.79,3.57,6.82,36.45,86.75
M1,M113,ACACBR,2.4,4.52,0.5,1.16,0.66,1,0.79,0.35,,,ACACTO,11.1,96.72,1.22,4.79,3.57,6.82,36.45,86.75
M1,M113,ACACBR,3.1,7.54,0.52,1.42,0.9,1.58,1.92,1.15,,,ACACTO,12.8,128.61,0.2,2.36,2.16,1.91,2.5,3.6
M1,M113,ACACBR,2.5,4.91,0.8,1.42,0.62,1.11,0.89,0.37,,,ACACME,7.5,44.16,1.05,2.57,1.52,3.36,8.8,8.92
M1,M113,ACACBR,2,3.14,0.6,1.95,1.35,1.49,1.64,1.48,,,ACACTO,10.6,88.20,0.84,3.87,3.03,4.37,14.9,30.1
M1,M113,ACACBR,1.5,1.77,0.6,1.35,0.75,0.9,0.63,0.31,,,ACACME,4.5,15.90,0.7,2,1.3,2.38,4.42,3.83
M1,M113,ACACBR,2.6,5.31,0.77,1.67,0.9,0.89,0.62,0.37,,,ACACTO,9.8,75.39,1.06,2.85,1.79,4.11,13.1,15.63
M1,M113,ACACBR,2,3.14,0.5,1.46,0.96,0.98,0.73,0.47,,,ACACTO,9.4,69.36,0.7,2.58,1.88,2.97,6.86,8.6
M1,M113,ACACBR,2.3,4.15,0.3,1.2,0.9,0.38,0.07,0.04,,,ACACTO,11.5,103.82,1.1,2.75,1.65,5.06,20.02,22.03
M1,M113,ACACBR,2.7,5.72,0.3,1.2,0.9,0.38,0.07,0.04,,,ACACTO,7.6,45.34,0.9,2.32,1.42,4.25,14.18,13.42
M1,M113,ACACBR,2.3,4.15,0.9,1.7,0.8,1.15,1.04,0.55,,,ACACTO,14.6,167.33,0.97,3.63,2.66,3.95,12.05,21.37
M1,M113,ACACBR,2,3.14,0.2,1.06,0.86,0.68,0.35,0.2,,,ACACET,6.3,31.16,1.2,2.95,1.75,3.16,7.84,9.15
M1,M113,ACACBR,1.1,0.95,0.1,0.64,0.54,0.47,0.17,0.06,,,ACACTO,4.6,16.61,0.8,1.7,0.9,3.18,7.87,4.72
M1,M113,ACACBR,1.9,2.83,0.2,1.15,0.95,0.55,0.24,0.15,,,ACACTO,6.3,31.16,1.22,2.14,0.92,3.4,9.05,5.55
M1,M113,ACACBR,1.1,0.95,0.4,1.14,0.74,0.75,0.44,0.22,,,ACACTO,2.8,6.15,0.5,1.1,0.6,2.22,3.84,1.54
M1,M113,ACACBR,2.1,3.46,0.3,1.5,1.2,0.7,0.38,0.31,,,ACACTO,10.6,88.20,0.84,3.87,3.03,4.37,14.9,30.1
M1,M113,ACACBR,1.7,2.27,0.4,1.31,0.91,0.45,0.16,0.1,,,ACACTO,7.4,42.99,1.1,2.12,1.02,2.95,6.74,4.58
M1,M113,ACACBR,2,3.14,0.3,1.36,1.06,1,0.75,0.53,,,ACACTO,12.1,114.93,1.08,1.93,0.85,4.05,12.81,7.26
M1,M113,ACACBR,2.3,4.15,0.5,1.7,1.2,1.37,1.47,1.18,,,ACACTO,2.8,6.15,0.3,0.88,0.58,2.88,6.51,2.52
M1,M113,ACACBR,1.6,2.01,0.3,1.1,0.8,0.44,0.15,0.08,,,ACACTO,7.4,42.99,0.5,2.04,1.54,5.05,19.96,20.49
M1,M113,ACACBR,1.7,2.27,0.2,1.08,0.88,0.68,0.35,0.21,,,ACACTO,7.3,41.83,1.2,2.03,0.83,3.22,8.13,4.5
M1,M113,ACACET,23.9,448.40,1.19,4.13,2.94,3.67,10.42,20.43,,,ACACME,17.8,248.72,1.2,4.45,3.25,5.69,25.28,54.78
M1,M113,ACACBR,2.3,4.15,0.4,2,1.6,0.6,0.25,0.27,,,ACACTO,9.1,65.01,0.9,2.96,2.06,3.47,9.4,12.91
M1,M113,ACACBR,1.2,1.13,0.4,0.9,0.5,0.61,0.27,0.09,,,ACACME,3.4,9.07,0.25,1.55,1.3,2.11,3.43,2.97
M1,M113,ACACBR,1.6,2.01,0.2,1.4,1.2,0.3,0.07,0.05,,,ACACME,4.5,15.90,0.3,1.92,1.62,2.18,3.71,4.01
M1,M113,ACACBR,1.3,1.33,0.15,0.6,0.45,0.48,0.17,0.05,,,ACACTO,2.5,4.91,0.3,1.08,0.78,1.84,2.59,1.35
M1,M113,ACACBR,1.8,2.54,0.25,1.1,0.85,0.67,0.35,0.2,,,ACACTO,11.5,103.82,0.9,3.05,2.15,3.89,11.84,16.98
M1,M113,ACACBR,2,3.14,0.4,1.87,1.47,2.1,3.42,3.35,,,ACACTO,5.8,26.41,0.65,1.1,0.45,3.2,8.03,2.41
M1,M113,ACACET,16,200.96,0.88,3.78,2.9,3.82,11.41,22.07,,,ACACTO,8.6,58.06,0.4,1.92,1.52,4.48,15.5,15.71
M1,M113,ACACBR,1.5,1.77,0.18,0.78,0.6,0.52,0.2,0.08,,,ACACTO,9.5,70.85,1.15,2.39,1.24,2.4,4.51,3.73
M1,M113,ACACBR,1.9,2.83,0.35,1.15,0.8,0.71,0.38,0.2,,,ACACET,2.9,6.60,0.7,1.64,0.94,1.73,2.33,1.46
M1,M113,ACACBR,2,3.14,0.43,1.43,1,0.53,0.21,0.14,,,ACACTO,2.5,4.91,0.45,1.22,0.77,1.78,2.45,1.26
M1,M113,ACACBR,1.6,2.01,0.54,1.12,0.58,0.96,0.72,0.28,,,ACACTO,2.6,5.31,0.6,0.75,0.15,1,0.75,0.08
M1,M113,ACACBR,1.7,2.27,0.36,1.15,0.79,0.5,0.2,0.1,,,ACACTO,3,7.07,0.4,0.9,0.5,1.38,1.46,0.49
M1,M113,ACACBR,1.4,1.54,0.12,0.57,0.45,0.45,0.16,0.05,,,ACACTO,2.5,4.91,0.2,0.9,0.7,1.23,1.18,0.55
M1,M113,ACACBR,2,3.14,0.54,1.53,0.99,0.65,0.32,0.21,,,ACACTO,2.3,4.15,0.4,1,0.6,2.35,4.34,1.73
M1,M113,ACACBR,1.8,2.54,0.15,0.25,0.1,0.4,0.13,0.01,,,ACACTO,3.6,10.17,0.4,1,0.6,2.13,3.46,1.38
M1,M113,ACACBR,1.4,1.54,0.6,1.38,0.78,0.63,0.3,0.16,,,ACACET,7.7,46.54,1,2.14,1.14,2.22,3.84,2.92
M1,M113,ACACBR,1.9,2.83,0.25,1.44,1.19,0.45,0.16,0.13,,,ACACET,2.3,4.15,1,2.63,1.63,2.73,5.82,6.32
M1,M113,ACACBR,1.5,1.77,1,4.4,3.4,0.48,0.18,0.4,,,ACACET,3.3,8.55,0.3,1.22,0.92,1.44,1.62,0.99
M1,M113,ACACBR,2.1,3.46,0.19,0.45,0.26,0.6,0.28,0.05,,,ACACET,5.7,25.50,0.4,2.85,2.45,1.67,2.15,3.52
M1,M113,ACACBR,2,3.14,0.6,1.52,0.92,0.75,0.44,0.27,,,ACACET,3,7.07,0.5,1.82,1.32,1.6,1.99,1.75
M1,M113,ACACBR,1,0.79,0.25,1.4,1.15,0.8,0.48,0.37,,,ACACET,2.8,6.15,0.6,1.92,1.32,2.23,3.83,3.37
M1,M113,ACACBR,1.9,2.83,0.2,1,0.8,0.63,0.31,0.16,,,ACACET,6.6,34.19,0.56,1.53,0.97,1.48,1.7,1.1
M1,M113,ACACBR,2,3.14,0.25,1.48,1.23,0.74,0.42,0.35,,,ACACET,10.6,88.20,0.8,2.03,1.23,1.94,2.94,2.41
M1,M113,ACACBR,3,7.07,0.5,1.9,1.4,1.65,2.14,1.99,,,ACACTO,3.8,11.34,0.3,1.87,1.57,2.9,6.54,6.84
M1,M113,ACACBR,1.1,0.95,0.22,1,0.78,0.6,0.28,0.15,,,ACACET,3.3,8.55,0.6,1.8,1.2,1.37,1.47,1.18
M1,M113,ACACBR,1.6,2.01,0.48,1.48,1,0.54,0.23,0.15,,,ACACET,17.3,234.94,0.76,2.72,1.96,2.63,5.42,7.09
M1,M113,ACACBR,2.4,4.52,0.15,1.51,1.36,1.29,1.3,1.18,,,ACACET,3.4,9.07,0.3,0.87,0.57,2.51,4.84,1.84
M1,M114,ACACBR,1.8,2.54,0.8,1.8,1,1.13,0.96,0.64,,,ACACET,9.4,69.36,0.5,2.44,1.94,2.59,5.17,6.69
M1,M114,ACACBR,1.9,2.83,0.7,2.06,1.36,1.28,1.27,1.15,,,ACACET,3.6,10.17,0.34,1.2,0.86,2.16,3.66,2.1
M1,M114,ACACBR,2.7,5.72,0.45,1.36,0.91,1.1,0.87,0.53,,,ACACET,3.4,9.07,0.2,1.22,1.02,1.66,2.13,1.45
M1,M114,ACACBR,2,3.14,0.65,1.64,0.99,1.08,0.91,0.6,,,ACACET,8.3,54.08,0.8,2.85,2.05,2.52,4.98,6.81
M1,M114,ACACBR,2.4,4.52,1,2.25,1.25,1.15,1.04,0.86,,,ACACET,3.7,10.75,0.45,2.33,1.88,1.93,2.88,3.62
M1,M114,ACACBR,1.9,2.83,0.67,1.48,0.81,0.7,0.38,0.21,,,ACACET,5.1,20.42,0.5,1.94,1.44,2.88,6.47,6.21
