Mpala structural data,,,,,,,,,,,,,Ilmotiok structural data,,,,,,,,
S/Transect,ALL,SpCode,DKH,Basal area (sq cm),Hmin,Hmax,CanDepth,CrwnDiam,CanArea     = ?D1D2/4 ,CanVol ,,,SpCode,DKH,Basal area (sq cm),Hmin,Hmax,CanDepth,CrwnDiam,CanArea     = ?D1D2/4 ,CanVol 
M1,M104,ACACBR,2.4,4.52,0.64,1.1,0.46,1,0.79,0.24,,,ACACME,6,28.26,1.83,2.71,0.88,2.37,4.38,2.57
M1,M104,ACACBR,2.1,3.46,1,1.2,0.2,0.75,0.44,0.06,,,ACACME,4.1,13.20,1.03,2.44,1.41,3.09,7.16,6.73
M1,M104,ACACBR,2.2,3.80,0.74,1.16,0.42,0.47,0.17,0.05,,,ACACET,10.2,81.67,0.9,3.84,2.94,3.02,7.05,13.81
M1,M104,ACACBR,2.2,3.80,0.6,1.1,0.5,0.9,0.63,0.21,,,ACACME,10.7,89.87,1.02,3.01,1.99,4.72,17.41,23.09
M1,M104,ACACBR,2.6,5.31,0.8,1.36,0.56,1.5,1.63,0.61,,,ACACET,5.7,25.50,1.06,2.74,1.68,2.29,4.1,4.59
M1,M104,ACACBR,1.8,2.54,0.9,1.15,0.25,0.95,0.71,0.12,,,ACACET,5.7,25.50,0.92,3.07,2.15,2.88,6.49,9.3
M1,M104,ACACBR,2.5,4.91,0.5,0.9,0.4,0.75,0.39,0.1,,,ACACET,6.9,37.37,0.9,2.99,2.09,3.6,10.12,14.11
M1,M104,ACACBR,2.1,3.46,0.8,1,0.2,0.63,0.3,0.04,,,ACACET,6,28.26,1.01,3.11,2.1,3.05,7.3,10.22
M1,M104,ACACBR,3.1,7.54,0.8,1,0.2,0.63,0.3,0.04,,,ACACME,10.5,86.55,1.03,4.33,3.3,5.45,20.99,46.18
M1,M104,ACACBR,2.2,3.80,0.76,1.06,0.3,0.75,0.42,0.08,,,ACACME,9.2,66.44,1.06,3.02,1.96,1.87,2.73,3.57
M1,M104,ACACBR,2.9,6.60,0.64,1.65,1.01,0.97,0.73,0.49,,,ACACME,11.4,102.02,1.01,2.2,1.19,1.55,1.86,1.48
M1,M104,ACACBR,2.2,3.80,0.8,1.7,0.9,0.78,0.47,0.28,,,ACACET,10.9,93.27,0.6,3.14,2.54,2.06,3.24,5.49
M1,M104,ACACBR,2.3,4.15,0.8,1.1,0.3,0.46,0.08,0.02,,,ACACET,7.3,41.83,0.74,3.08,2.34,2.53,4.95,7.72
M1,M104,ACACBR,2.6,5.31,0.7,1.1,0.4,0.65,0.33,0.09,,,ACACET,12.9,130.63,1,4.45,3.45,3.8,11.14,25.62
M1,M104,ACACBR,2.7,5.72,0.7,1.1,0.4,0.65,0.33,0.09,,,ACACTO,19.3,292.40,0.74,4.24,3.5,6.43,32.24,75.17
M1,M104,ACACBR,1.5,1.77,1.09,1.46,0.37,0.18,0.02,0.01,,,ACACME,18.5,268.67,0.8,2.32,1.52,3.17,7.6,7.69
M1,M104,ACACBR,2,3.14,1,1.42,0.42,0.58,0.24,0.07,,,ACACTO,10.4,84.91,0.87,2.87,2,5.94,27.55,36.65
M1,M104,ACACBR,1.9,2.83,0.7,1.21,0.51,0.75,0.44,0.15,,,ACACTO,12.7,126.61,0.8,2.47,1.67,5.4,22.59,25.14
M1,M104,ACACBR,2.5,4.91,1.1,1.43,0.33,0.8,0.5,0.11,,,ACACTO,13.2,136.78,0.5,3.84,3.34,4.52,16.04,35.73
M1,M104,ACACBR,2.2,3.80,0.8,1.16,0.36,0.53,0.21,0.05,,,ACACTO,5.2,21.23,0.6,2.71,2.11,3.88,11.65,16.42
M1,M104,ACACBR,3.1,7.54,0.86,1.72,0.86,0.55,0.22,0.13,,,ACACTO,13.3,138.86,1.22,2.93,1.71,5.79,26.14,29.74
M1,M104,ACACBR,2.2,3.80,0.75,0.9,0.15,0.2,0.03,0,,,ACACME,13.8,149.50,0.9,3.72,2.82,5.31,21.8,40.98
M1,M104,ACACBR,1.3,1.33,0.63,1.03,0.4,0.33,0.07,0.02,,,ACACME,12.1,114.93,1.22,4.82,3.6,5.97,27.71,66.44
M1,M104,ACACBR,2.2,3.80,0.77,1.22,0.45,0.23,0.04,0.01,,,ACACME,12.7,126.61,1.2,2.96,1.76,4.03,12.22,14.32
M1,M104,ACACBR,3.5,9.62,0.8,1.27,0.47,1.11,0.96,0.3,,,ACACME,7.6,45.34,1.1,2.71,1.61,4.19,13.75,14.79
M1,M104,ACACBR,3.3,8.55,0.6,2.15,1.55,1.68,2.12,2.19,,,ACACME,10.6,88.20,4.37,5,0.63,6.42,32.17,13.6
M1,M105,ACACET,5.9,27.33,0.8,2.43,1.63,1.35,1.43,1.55,,,ACACME,16.6,216.31,1.21,5.27,4.06,7.89,48.54,131.52
M1,M105,ACACBR,2.2,3.80,0.7,1.91,1.21,1.33,1.38,1.11,,,ACACET,11.7,107.46,1,3.57,2.57,3.96,12.31,21.07
M1,M105,ACACBR,2.3,4.15,0.75,1.89,1.14,1.54,1.86,1.41,,,ACACME,15.6,191.04,1.2,2.78,1.58,4.05,12.22,12.85
M1,M105,ACACBR,1.5,1.77,0.8,1.41,0.61,0.38,0.11,0.04,,,ACACME,14.3,160.52,1.22,4.3,3.08,7.05,38.94,80.01
M1,M105,ACACBR,1.5,1.77,0.6,1.1,0.5,0.66,0.34,0.11,,,ACACTO,13.4,140.95,3.11,5.1,1.99,2.75,5.79,7.68
M1,M105,ACACBR,2.8,6.15,0.75,1.76,1.01,0.88,0.6,0.4,,,ACACTO,5.4,22.89,1,1.59,0.59,4.6,16.26,6.34
M1,M105,ACACBR,1.1,0.95,2.98,3.43,0.45,0.1,0.01,0,,,ACACME,4.6,16.61,1.12,3.02,1.9,4.08,13.03,16.49
M1,M105,ACACET,14.3,160.52,1.1,4.52,3.42,2.26,3.99,9.1,,,ACACME,3.9,11.94,1.02,3.14,2.12,3.94,12.06,17.05
M1,M105,ACACBR,4,12.56,0.7,1.55,0.85,0.5,0.07,0.04,,,ACACTO,4.6,16.61,0.4,2.36,1.96,2.75,5.89,7.69
M1,M105,ACACET,11.1,96.72,1.5,3.7,2.2,3.6,10.14,14.88,,,ACACET,10.1,80.08,1.22,3.41,2.19,2.96,6.86,10.04
