Acacia tortilis biomass (y=53.506x-103.47 (r2 = 0.75),,,,,,,,,,,,,,,,,,,
S/Transect,Quadra,SpCode,DKH,code,branches,Basal area (sq cm),Hmin,Hmax,CanDepth,D1,D2,CD,CanArea =  ?r² ,CanArea     = ?D1D2/4 ,Diff,(D1D2/4),CanVol,CanVol ,Biomass
L1,L127,ACACTO,9.8,,b,75.39,1.22,2.93,1.71,6.2,5.37,5.79,26.27,26.14,0.14,8.3235,29.8,29.74,420.9
L1,L127,ACACTO,6.7,,b,35.24,1.22,2.93,1.71,6.2,5.37,5.79,26.27,26.14,0.14,8.3235,29.8,29.74,255.0
L1,L127,ACACTO,7.1,,b,39.57,1.22,2.93,1.71,6.2,5.37,5.79,26.27,26.14,0.14,8.3235,29.8,29.74,276.4
L1,L130,ACACTO,13.4,M,M,140.95,3.11,5.1,1.99,2.34,3.15,2.75,5.91,5.79,0.13,1.84275,7.7,7.68,613.5
L1,L130,ACACTO,9.5,,b,70.85,3.11,5.1,1.99,2.34,3.15,2.75,5.91,5.79,0.13,1.84275,7.7,7.68,404.8
L1,L130,ACACTO,11.1,,b,96.72,3.11,5.1,1.99,2.34,3.15,2.75,5.91,5.79,0.13,1.84275,7.7,7.68,490.4
L1,L130,ACACTO,5.4,M,M,22.89,1,1.59,0.59,5.23,3.96,4.6,16.57,16.26,0.32,5.1777,6.4,6.34,185.5
L1,L130,ACACTO,4.4,,b,15.20,1,1.59,0.59,5.23,3.96,4.6,16.57,16.26,0.32,5.1777,6.4,6.34,132.0
L1,L130,ACACTO,3.3,,b,8.55,1,1.59,0.59,5.23,3.96,4.6,16.57,16.26,0.32,5.1777,6.4,6.34,73.1
L1,L130,ACACTO,5.4,,b,22.89,1,1.59,0.59,5.23,3.96,4.6,16.57,16.26,0.32,5.1777,6.4,6.34,185.5
L1,L132,ACACTO,4.6,M,M,16.61,0.4,2.36,1.96,2.51,2.99,2.75,5.94,5.89,0.05,1.876225,7.7,7.69,142.7
L1,L132,ACACTO,4.4,,b,15.20,0.4,2.36,1.96,2.51,2.99,2.75,5.94,5.89,0.05,1.876225,7.7,7.69,132.0
L1,L132,ACACTO,3.7,,b,10.75,0.4,2.36,1.96,2.51,2.99,2.75,5.94,5.89,0.05,1.876225,7.7,7.69,94.5
L1,L132,ACACTO,7.8,M,M,47.76,1.1,2.32,1.22,4.54,3.95,4.25,14.15,14.08,0.07,4.48325,11.4,11.42,313.9
L1,L132,ACACTO,7.4,,b,42.99,1.1,2.32,1.22,4.54,3.95,4.25,14.15,14.08,0.07,4.48325,11.4,11.42,292.5
L1,L132,ACACTO,7.1,,b,39.57,1.1,2.32,1.22,4.54,3.95,4.25,14.15,14.08,0.07,4.48325,11.4,11.42,276.4
L1,L132,ACACTO,5.2,,b,21.23,1.1,2.32,1.22,4.54,3.95,4.25,14.15,14.08,0.07,4.48325,11.4,11.42,174.8
L1,L132,ACACTO,15.3,M,M,183.76,0.86,2.87,2.01,6.26,6.57,6.42,32.3,32.29,0.02,10.28205,43.3,43.17,715.2
L1,L132,ACACTO,9.3,,b,67.89,0.86,2.87,2.01,6.26,6.57,6.42,32.3,32.29,0.02,10.28205,43.3,43.17,394.1
L1,L132,ACACTO,8.3,,b,54.08,0.86,2.87,2.01,6.26,6.57,6.42,32.3,32.29,0.02,10.28205,43.3,43.17,340.6
L1,L132,ACACTO,8.3,,b,54.08,0.86,2.87,2.01,6.26,6.57,6.42,32.3,32.29,0.02,10.28205,43.3,43.17,340.6
L1,L132,ACACTO,5.3,,b,22.05,0.86,2.87,2.01,6.26,6.57,6.42,32.3,32.29,0.02,10.28205,43.3,43.17,180.1
L1,L132,ACACTO,5.7,,b,25.50,0.86,2.87,2.01,6.26,6.57,6.42,32.3,32.29,0.02,10.28205,43.3,43.17,201.5
L1,L132,ACACTO,6.6,,b,34.19,0.86,2.87,2.01,6.26,6.57,6.42,32.3,32.29,0.02,10.28205,43.3,43.17,249.7
L1,L134,ACACTO,3.5,M,M,9.62,1.22,1.55,0.33,3.48,3.19,3.34,8.73,8.71,0.02,2.7753,1.9,1.95,83.8
L1,L134,ACACTO,3.3,,b,8.55,1.22,1.55,0.33,3.48,3.19,3.34,8.73,8.71,0.02,2.7753,1.9,1.95,73.1
L1,L134,ACACTO,3.1,,b,7.54,1.22,1.55,0.33,3.48,3.19,3.34,8.73,8.71,0.02,2.7753,1.9,1.95,62.4
L1,L134,ACACTO,3.6,M,M,10.17,0.87,1.59,0.72,2.29,2.7,2.5,4.89,4.85,0.03,1.54575,2.3,2.31,89.2
L1,L134,ACACTO,3.2,,b,8.04,0.87,1.59,0.72,2.29,2.7,2.5,4.89,4.85,0.03,1.54575,2.3,2.31,67.7
L1,L134,ACACTO,2.2,,b,3.80,0.87,1.59,0.72,2.29,2.7,2.5,4.89,4.85,0.03,1.54575,2.3,2.31,14.2
L1,L136,ACACTO,2.6,M,M,5.31,0.3,1.1,0.8,2,1,1.5,1.77,1.57,0.2,0.5,0.8,0.84,35.6
L1,L136,ACACTO,2.3,,b,4.15,0.3,1.1,0.8,2,1,1.5,1.77,1.57,0.2,0.5,0.8,0.84,19.6
L1,L136,ACACTO,1.5,,b,1.77,0.3,1.1,0.8,2,1,1.5,1.77,1.57,0.2,0.5,0.8,0.84,-23.2
L1,L136,ACACTO,1.4,,b,1.54,0.3,1.1,0.8,2,1,1.5,1.77,1.57,0.2,0.5,0.8,0.84,-28.6
L1,L136,ACACTO,1.7,,b,2.27,0.3,1.1,0.8,2,1,1.5,1.77,1.57,0.2,0.5,0.8,0.84,-12.5
L1,L146,ACACTO,1.7,M,M,2.27,0.3,0.9,0.6,1.22,0.6,0.91,0.65,0.57,0.08,0.183,0.2,0.23,-12.5
L1,L146,ACACTO,1.5,,b,1.77,0.3,0.9,0.6,1.22,0.6,0.91,0.65,0.57,0.08,0.183,0.2,0.23,-23.2
L1,L150,ACACTO,6.8,M,M,36.30,1.52,3.36,1.84,3.54,2.82,3.18,7.94,7.84,0.1,2.4957,9.6,9.61,260.4
L1,L154,ACACTO,9.8,M,M,75.39,0.7,1.81,1.11,3.62,5.02,4.32,14.65,14.27,0.38,4.5431,10.6,10.56,420.9
L1,L154,ACACTO,7.7,,b,46.54,0.7,1.81,1.11,3.62,5.02,4.32,14.65,14.27,0.38,4.5431,10.6,10.56,308.5
L1,L154,ACACTO,4.5,,b,15.90,0.7,1.81,1.11,3.62,5.02,4.32,14.65,14.27,0.38,4.5431,10.6,10.56,137.3
L1,L154,ACACTO,4.3,,b,14.51,0.7,1.81,1.11,3.62,5.02,4.32,14.65,14.27,0.38,4.5431,10.6,10.56,126.6
L1,L154,ACACTO,9.3,M,M,67.89,1.03,2.26,1.23,4.64,4.09,4.37,14.96,14.9,0.06,4.7444,12.2,12.22,394.1
L1,L154,ACACTO,6.4,,b,32.15,1.03,2.26,1.23,4.64,4.09,4.37,14.96,14.9,0.06,4.7444,12.2,12.22,239.0
L1,L154,ACACTO,5,,b,19.63,1.03,2.26,1.23,4.64,4.09,4.37,14.96,14.9,0.06,4.7444,12.2,12.22,164.1
L1,L154,ACACTO,4.5,,b,15.90,1.03,2.26,1.23,4.64,4.09,4.37,14.96,14.9,0.06,4.7444,12.2,12.22,137.3
L1,L155,ACACTO,4.3,M,M,14.51,0.4,1.07,0.67,1.93,1.22,1.58,1.95,1.85,0.1,0.58865,0.8,0.83,126.6
L1,L155,ACACTO,1.8,,b,2.54,0.4,1.07,0.67,1.93,1.22,1.58,1.95,1.85,0.1,0.58865,0.8,0.83,-7.2
L1,L155,ACACTO,1.7,,b,2.27,0.4,1.07,0.67,1.93,1.22,1.58,1.95,1.85,0.1,0.58865,0.8,0.83,-12.5
L1,L156,ACACTO,10.5,M,M,86.55,0.3,2.43,2.13,5.6,4.95,5.28,21.84,21.76,0.08,6.93,30.9,30.9,458.3
L1,L156,ACACTO,5.8,,b,26.41,0.3,2.43,2.13,5.6,4.95,5.28,21.84,21.76,0.08,6.93,30.9,30.9,206.9
L1,L156,ACACTO,9.8,,b,75.39,0.3,2.43,2.13,5.6,4.95,5.28,21.84,21.76,0.08,6.93,30.9,30.9,420.9
L1,L156,ACACTO,6.5,M,M,33.17,0.91,3.99,3.08,4.45,2.98,3.72,10.83,10.41,0.42,3.31525,21.4,21.37,244.3
L1,L156,ACACTO,6.1,,b,29.21,0.91,3.99,3.08,4.45,2.98,3.72,10.83,10.41,0.42,3.31525,21.4,21.37,222.9
L1,L157,ACACTO,3.2,M,M,8.04,0.3,1.63,1.33,3.86,2.57,3.22,8.11,7.79,0.33,2.48005,6.9,6.9,67.7
L1,L157,ACACTO,2,,b,3.14,0.3,1.63,1.33,3.86,2.57,3.22,8.11,7.79,0.33,2.48005,6.9,6.9,3.5
L1,L157,ACACTO,2.9,,b,6.60,0.3,1.63,1.33,3.86,2.57,3.22,8.11,7.79,0.33,2.48005,6.9,6.9,51.7
L1,L157,ACACTO,2.2,,b,3.80,0.3,1.63,1.33,3.86,2.57,3.22,8.11,7.79,0.33,2.48005,6.9,6.9,14.2
L1,L157,ACACTO,3.2,,b,8.04,0.3,1.63,1.33,3.86,2.57,3.22,8.11,7.79,0.33,2.48005,6.9,6.9,67.7
L1,L157,ACACTO,14,M,M,153.86,1.06,3.45,2.39,4.78,4.6,4.69,17.27,17.26,0.01,5.497,27.5,27.5,645.6
L1,L158,ACACTO,4.6,M,M,16.61,0.7,1.73,1.03,2.67,2.31,2.49,4.87,4.84,0.03,1.541925,3.3,3.32,142.7
L1,L158,ACACTO,10.3,M,M,83.28,0.82,2.24,1.42,2.88,3.4,3.14,7.74,7.69,0.05,2.448,7.3,7.28,447.6
L1,L158,ACACTO,2.9,,b,6.60,0.82,2.24,1.42,2.88,3.4,3.14,7.74,7.69,0.05,2.448,7.3,7.28,51.7
L1,L158,ACACTO,4.2,,b,13.85,0.82,2.24,1.42,2.88,3.4,3.14,7.74,7.69,0.05,2.448,7.3,7.28,121.3
L1,L158,ACACTO,5.6,,b,24.62,0.82,2.24,1.42,2.88,3.4,3.14,7.74,7.69,0.05,2.448,7.3,7.28,196.2
L1,L158,ACACTO,12.6,M,M,124.63,1.5,3.94,2.44,7.81,9.34,8.58,57.72,57.26,0.46,18.23635,93.1,93.15,570.7
L1,L158,ACACTO,16,M,M,200.96,1.22,3.95,2.73,5.14,3.78,4.46,15.61,15.25,0.36,4.8573,27.8,27.76,752.6
L1,L159,ACACTO,19.8,M,M,307.75,0.38,3.95,3.57,5.51,4.68,5.1,20.38,20.24,0.14,6.4467,48.2,48.18,955.9
