CCA Data Second - Il Motiok,,,,,,,,,,,,,,
217,plots,,,,,,,,,,,,,
14,variables,,,,,,,,,,,,,
,q,q,q,q,q,q,q,q,q,q,q,q,q,q
Plot,soil text,Slope,Alt,Soil  pH,Tot. N,Tot. C,K,Ca,Mg,Mn,Co,Fe,Zn,Na
L247,4,3,1678,0,0,0,0,0,0,0,0,0,0,0
L248,4,3,1673,0,0,0,0,0,0,0,0,0,0,0
L249,4,3,1673,0,0,0,0,0,0,0,0,0,0,0
L250,4,3,1678,0,0,0,0,0,0,0,0,0,0,0
L251,4,3,1674,5.67,0.1,0.95,0.74,2.9,1.78,0.28,1.84,13.9,2.97,0.26
L252,5,2,1673,0,0,0,0,0,0,0,0,0,0,0
L253,1,1,1671,0,0,0,0,0,0,0,0,0,0,0
L254,1,1,1674,0,0,0,0,0,0,0,0,0,0,0
L255,5,1,1669,0,0,0,0,0,0,0,0,0,0,0
L256,1,1,1669,6.17,0.08,0.8,0.64,2.5,2.69,0.3,2.41,20.1,23.3,0.2
L257,4,2,1665,0,0,0,0,0,0,0,0,0,0,0
L258,5,2,1667,0,0,0,0,0,0,0,0,0,0,0
L259,1,3,1670,0,0,0,0,0,0,0,0,0,0,0
L260,1,2,1665,0,0,0,0,0,0,0,0,0,0,0
L261,1,3,1661,5.82,0.05,0.43,0.62,2.2,1.9,0.26,1.88,21.3,21.8,0.19
L262,1,3,1658,0,0,0,0,0,0,0,0,0,0,0
L263,1,3,1660,0,0,0,0,0,0,0,0,0,0,0
L264,1,3,1647,0,0,0,0,0,0,0,0,0,0,0
L265,1,2,1662,0,0,0,0,0,0,0,0,0,0,0
L266,1,2,1656,5.5,0.07,0.69,0.44,2,1.66,0.62,1.53,129,21.1,0.16
L267,1,2,1653,0,0,0,0,0,0,0,0,0,0,0
L268,4,2,1641,0,0,0,0,0,0,0,0,0,0,0
L269,4,2,1649,0,0,0,0,0,0,0,0,0,0,0
L270,4,2,1650,0,0,0,0,0,0,0,0,0,0,0
L271,4,1,1654,6.03,0.08,0.76,0.58,3.7,3.9,0.43,1.93,115,22.7,0.38
L272,1,1,1646,0,0,0,0,0,0,0,0,0,0,0
L273,4,2,1641,0,0,0,0,0,0,0,0,0,0,0
L274,4,2,1641,0,0,0,0,0,0,0,0,0,0,0
L301,1,2,1657,0,0,0,0,0,0,0,0,0,0,0
L302,1,2,1657,0,0,0,0,0,0,0,0,0,0,0
L303,5,2,1657,0,0,0,0,0,0,0,0,0,0,0
L304,4,2,1674,0,0,0,0,0,0,0,0,0,0,0
L305,1,2,1668,0,0,0,0,0,0,0,0,0,0,0
L306,5,2,1670,0,0,0,0,0,0,0,0,0,0,0
L307,1,2,1661,0,0,0,0,0,0,0,0,0,0,0
L308,1,2,1673,0,0,0,0,0,0,0,0,0,0,0
L309,5,2,1669,0,0,0,0,0,0,0,0,0,0,0
L310,1,2,1664,0,0,0,0,0,0,0,0,0,0,0
L311,4,2,1667,0,0,0,0,0,0,0,0,0,0,0
L312,4,3,1665,0,0,0,0,0,0,0,0,0,0,0
L313,4,3,1667,0,0,0,0,0,0,0,0,0,0,0
L314,4,3,1665,0,0,0,0,0,0,0,0,0,0,0
L315,4,3,1666,0,0,0,0,0,0,0,0,0,0,0
