cond;plot;subplot;bare_soil;cov_woody;cov_n_woody
invaded;21;4;20;2.5;37.5
invaded;22;1;87.5;2.5;10
invaded;22;2;87.5;2.5;37.5
invaded;22;3;87.5;2.5;10
invaded;22;4;62.5;2.5;10
invaded;23;1;37.5;10;2.5
invaded;23;2;87.5;2.5;2.5
invaded;23;3;87.5;2.5;2.5
invaded;23;4;37.5;2.5;2.5
invaded;24;1;20;2.5;87.5
invaded;24;2;87.5;2.5;10
invaded;24;3;37.5;2.5;62.5
invaded;24;4;87.5;2.5;2.5
invaded;25;1;87.5;2.5;10
invaded;25;2;87.5;2.5;2.5
invaded;25;3;87.5;2.5;2.5
invaded;25;4;62.5;2.5;10
invaded;26;1;87.5;2.5;2.5
invaded;26;2;62.5;2.5;10
invaded;26;3;87.5;2.5;2.5
invaded;26;4;87.5;2.5;2.5
invaded;27;1;87.5;2.5;2.5
invaded;27;2;37.5;2.5;62.5
invaded;27;3;20;2.5;62.5
invaded;27;4;87.5;2.5;2.5
invaded;28;1;37.5;2.5;62.5
invaded;28;2;62.5;10;10
invaded;28;3;62.5;2.5;20
invaded;28;4;20;62.5;20
invaded;29;1;62.5;20;10
invaded;29;2;62.5;2.5;37.5
invaded;29;3;62.5;2.5;37.5
invaded;29;4;62.5;2.5;20
invaded;30;1;20;2.5;62.5
invaded;30;2;20;2.5;62.5
invaded;30;3;20;10;87.5
invaded;30;4;62.5;10;37.5
managed;1;1;2.5;20;62.5
managed;1;2;87.5;37.5;37.5
managed;1;3;37.5;62.5;37.5
managed;1;4;2.5;87.5;62.5
managed;2;1;10;37.5;62.5
managed;2;2;2.5;2.5;87.5
managed;2;3;2.5;87.5;2.5
managed;2;4;62.6;2.5;20
managed;3;1;20;87.5;20
managed;3;2;2.5;62.5;62.5
managed;3;3;2.5;87.5;62.5
managed;3;4;2.5;62.5;87.5
managed;4;1;87.5;2.5;2.5
managed;4;2;2.5;87.5;37.5
managed;4;3;62.5;2.5;37.5
managed;4;4;87.5;10;2.5
managed;5;1;87.5;10;2.5
managed;5;2;20;2.5;62.5
managed;5;3;2.5;62.5;37.5
managed;5;4;2.5;87.5;37.5
managed;6;1;62.5;2.5;10
managed;6;2;37.5;2.5;37.5
managed;6;3;2.5;20;87.5
managed;6;4;37.5;2.5;62.5
managed;7;1;87.5;2.5;20
managed;7;2;87.5;2.5;2.5
managed;7;3;87.5;2.5;2.5
managed;7;4;87.5;2.5;2.5
managed;8;1;20;2.5;37.5
managed;8;2;87.5;2.5;10
managed;8;3;62.5;2.5;37.5
managed;8;4;37.5;10;62.5
managed;9;1;10;37.5;62.5
managed;9;2;2.5;62.5;37.5
managed;9;3;10;37.5;37.5
managed;9;4;20;37.5;20
managed;10;1;20;37.5;37.5
