Date,tod,Site,Sample_num,Oligochaeta,Polychaete_Capitella,Polychaete_Simplisetia,Polychaete_Phyllodoce,Polychaete_Australonereis,Polychaete_Boccardiella,Diptera_Chironomid,Diptera_Dolichopodid,Diptera_Ceratopogonid,Ceratopogonid_pupae,Diptera_Stratiomyid,Stratiomyid_pupae,Diptera_Ephydridae,Amphipod,Ostracod,Bivalve_Arthritica,Gastropod_Hydrobia,Gastropod_Salinator,Batillariella_estuarina,Diptera adult,Springtails (Collembola),Empididae,Cafius sp, Hydrophilidae,Micronecta_sp,Pupae_Fly sp,Other
6/02/2022,pm,NC2,2,6,2,34,0,0,0,64,0,0,0,0,0,0,42,0,0,0,0,26,0,0,0,0,0,0,0,0
6/02/2022,pm,NC2,3,5,1,33,0,0,0,81,0,0,0,0,0,0,5,0,0,0,0,20,0,0,0,0,0,0,0,0
6/02/2022,pm,NC2,4,0,0,19,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/02/2022,pm,NC2,5,0,0,24,0,0,0,6,0,0,1,0,0,0,17,0,14,0,0,51,0,0,0,0,0,0,0,0
7/03/2022,am,NC2,1,3,0,2,0,0,0,18,0,0,0,0,0,1,2,0,0,0,0,6,0,4,0,0,1,0,0,0
7/03/2022,am,NC2,2,0,0,7,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,13,0,4,0,0,3,0,0,0
7/03/2022,am,NC2,3,0,0,8,0,0,0,12,0,0,0,0,0,0,13,0,0,0,0,0,1,13,0,0,0,0,0,0
7/03/2022,am,NC2,4,0,0,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,46,0,21,0,0,0,0,0,0
7/03/2022,am,NC2,5,18,0,1,0,0,0,9,0,0,0,0,0,12,0,0,0,0,0,4,0,18,0,0,0,0,0,0
10/03/2022,pm,NC2,1,0,0,3,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,22,0,0,0,0,0,0,0,0
10/03/2022,pm,NC2,2,0,0,10,0,0,0,12,0,0,0,0,0,0,9,0,0,0,0,52,0,0,0,0,0,0,0,0
