"article_id","construct","cooper_value","old_mc_value","new_mc_value","old_agreed","new_agrees","resolved","still_disagrees","new_mc_now_na"
"10_1111_1365_2656_13899","any_readme","FALSE","TRUE","TRUE",FALSE,FALSE,FALSE,TRUE,FALSE
"10_1111_1365_2664_14440","data_availability","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2435_13798","data_availability","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2656_12918","code_archived","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_2041_210x_13231","code_archived","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_2041_210x_13673","data_availability","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_2041_210x_13673","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2745_14023","data_availability","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2745_14023","code_archived","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2745_14023","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2745_13006","code_archived","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2745_13006","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2656_13220","any_readme","TRUE","FALSE","FALSE",FALSE,FALSE,FALSE,TRUE,FALSE
"10_1111_1365_2656_13478","data_availability","Yes","FALSE","FALSE",FALSE,FALSE,FALSE,TRUE,FALSE
"10_1111_1365_2656_13478","code_archived","Yes","FALSE","FALSE",FALSE,FALSE,FALSE,TRUE,FALSE
"10_1111_1365_2656_13478","any_readme","TRUE","FALSE","FALSE",FALSE,FALSE,FALSE,TRUE,FALSE
"10_1111_1365_2745_12872","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2745_14045","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2656_13310","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2656_13777","data_availability","No","TRUE","FALSE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2656_13777","code_archived","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2656_13777","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2656_13237","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2435_14194","data_availability","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2435_14670","data_availability","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2435_14670","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2656_14198","code_archived","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1002_pan3_10579","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2435_14289","data_license","No","TRUE","TRUE",FALSE,FALSE,FALSE,TRUE,FALSE
"10_1111_1365_2745_13057","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2745_13644","any_readme","TRUE","FALSE","FALSE",FALSE,FALSE,FALSE,TRUE,FALSE
"10_1002_2688_8319_12139","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2664_14167","data_availability","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2435_13128","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2435_13183","code_archived","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2664_14382","code_archived","No","TRUE","FALSE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2435_13026","data_license","No","TRUE","TRUE",FALSE,FALSE,FALSE,TRUE,FALSE
"10_1111_1365_2745_13973","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1002_pan3_10149","data_availability","Yes","FALSE","FALSE",FALSE,FALSE,FALSE,TRUE,FALSE
"10_1111_1365_2745_14155","code_archived","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2745_14155","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2664_13904","data_availability","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2656_13671","data_availability","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2656_13671","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2664_14415","data_availability","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2664_14415","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2745_12930","data_availability","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_2041_210x_14366","code_archived","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_2041_210x_14002","data_availability","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_2041_210x_14002","code_archived","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_2041_210x_14002","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2745_14083","data_availability","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2664_13241","code_archived","Yes","FALSE","FALSE",FALSE,FALSE,FALSE,TRUE,FALSE
"10_1111_1365_2656_13447","code_archived","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2656_13447","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2664_14013","code_archived","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2664_14013","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2745_12892","code_archived","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2664_13538","code_archived","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2664_13538","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2435_14678","data_availability","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2435_14678","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2745_13815","code_archived","No","TRUE","FALSE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2656_14169","data_availability","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_2041_210x_13658","data_availability","Yes","FALSE","FALSE",FALSE,FALSE,FALSE,TRUE,FALSE
"10_1111_1365_2745_13875","data_availability","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2745_13875","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2435_14111","data_availability","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2664_13948","code_archived","No","TRUE","TRUE",FALSE,FALSE,FALSE,TRUE,FALSE
"10_1111_1365_2745_14312","data_availability","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2745_14312","code_archived","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2745_14312","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2745_13240","code_archived","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_2041_210x_14314","code_archived","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_2041_210x_14314","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_2041_210x_13937","code_archived","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2664_13539","code_archived","Yes","FALSE","FALSE",FALSE,FALSE,FALSE,TRUE,FALSE
"10_1111_1365_2664_13539","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_2041_210x_14367","data_license","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2664_13100","data_license","No","TRUE","TRUE",FALSE,FALSE,FALSE,TRUE,FALSE
"10_1111_1365_2664_13100","code_archived","Yes","FALSE","FALSE",FALSE,FALSE,FALSE,TRUE,FALSE
"10_1111_1365_2664_13100","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_2041_210x_14387","data_license","Yes","FALSE","FALSE",FALSE,FALSE,FALSE,TRUE,FALSE
"10_1111_1365_2656_13848","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2664_13537","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2664_13354","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2745_12813","any_readme","TRUE","FALSE","FALSE",FALSE,FALSE,FALSE,TRUE,FALSE
"10_1111_1365_2745_13636","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2656_13268","data_availability","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2656_13268","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2664_13397","data_availability","Yes","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
"10_1111_1365_2664_13397","any_readme","TRUE","FALSE","TRUE",FALSE,TRUE,TRUE,FALSE,FALSE
