ident,web,state,trec3,noman2,protect2,restore2,wnoman2,wprotect2,wrestore2,women,spend2,polview2,seeind2,nepind2,gccind2
740,1,1,,2,4,4,,4,4,1,.5,1,1.5,3.4444444,4
741,1,1,5,1,5,5,1,3,3,0,1,2,3,3.2222223,3
742,1,1,2,2,4,4,2,3,3,1,0,4,3,2.6666667,1
743,1,3,3,3,3,3,3,3,3,1,.5,2,2,3.2222223,2
744,1,1,2,1,4,5,4,4,4,0,1,5,3,3.4444444,5
745,1,3,3,4,2,2,4,2,2,1,0,1,2,2.3333333,1.5
746,1,3,4,4,5,5,4,5,5,0,1,3,3,3,4
747,1,3,5,2,3,5,2,3,5,0,1,2,1,2.1111112,1.5
748,1,1,5,1,5,5,2,4,4,0,1,5,2.5,4.4444447,5
749,1,3,,,,5,,,5,1,.5,6,,3.6666667,5
750,1,1,5,3,4,4,3,4,4,0,.5,3,2.5,2.8888888,2
751,1,3,4,4,4,4,1,1,1,1,0,2,2.5,2.7777777,2
752,1,1,3,2,4,4,3,4,4,0,.5,2,2.5,2.8888888,2
753,1,1,1,2,4,4,4,4,4,0,.5,5,0,2.1111112,4.5
754,1,3,5,4,3,3,4,3,3,0,.5,1,3,2.8888888,1
755,1,3,4,2,4,4,2,4,4,0,1,2,1.5,3.2222223,4
756,1,3,1,,5,4,3,4,3,0,1,2,,,2
757,1,3,5,4,4,2,4,4,2,0,0,1,3,2.4444444,1.5
758,1,1,5,1,4,5,3,3,3,1,.5,4,.5,4.4444447,5
759,1,3,3,1,5,5,1,5,5,1,.5,2,2,3.6666667,3.5
760,1,3,2,3,4,4,3,3,3,0,.5,2,1,2.8888888,2
761,1,3,5,3,2,4,3,5,,0,.5,4,,3,4.5
762,1,3,3,4,1,2,5,1,1,1,0,4,1.5,2.5555556,1.5
763,1,3,4,1,4,2,1,4,4,1,.5,3,1.5,2.4444444,4.5
764,1,3,4,2,4,3,4,2,2,0,.5,5,2,3.5555556,4
765,1,2,5,2,4,5,2,4,5,0,1,6,2.5,4.2222223,5
766,1,1,5,1,5,5,1,5,5,1,1,7,2,3.8888888,5
767,1,3,2,2,4,4,2,4,4,0,.5,2,2,2.2222223,2.5
768,1,1,5,3,5,4,3,5,4,0,.5,4,2.5,4.2222223,5
769,1,2,5,1,5,5,1,5,5,1,.5,6,2.5,3.2222223,4.5
770,1,1,5,1,5,5,1,5,5,0,1,6,,3.8888888,5
771,1,3,1,4,5,5,4,4,4,0,1,2,2.5,3.6666667,4.5
772,1,3,5,3,4,4,4,1,3,1,1,6,1.5,3.6666667,4.5
773,1,1,5,,4,4,,4,3,0,1,4,3,3,4.5
774,1,3,5,1,2,5,3,3,5,0,.5,2,3,2.5555556,3.5
775,1,3,1,5,2,2,5,3,3,0,.5,1,1,3.8888888,4
776,1,3,3,1,1,1,1,1,1,0,0,1,0,1.5555556,1.5
777,1,1,5,2,4,3,1,3,4,0,.5,4,2.5,3.5555556,5
778,1,1,5,3,4,4,3,3,2,1,.5,2,2.5,2.3333333,2
779,1,3,2,1,5,5,1,5,5,1,1,2,2.5,3.6666667,3
780,1,3,4,3,3,2,3,3,2,0,.5,1,2.5,2,1.5
781,1,3,3,2,5,5,2,5,5,1,.5,2,2,3.3333333,4
782,1,3,3,3,4,3,3,4,3,0,.5,3,2.5,3.7777777,4.5
783,1,3,5,4,4,2,3,3,1,0,.5,3,2,2.2222223,1.5
784,1,2,1,4,4,4,4,4,4,1,.5,4,2,3.8888888,1
785,1,2,5,3,4,4,3,4,4,0,1,4,1.5,3.7777777,4
786,1,3,5,3,4,4,3,4,4,1,.5,3,1.5,3.1111112,2.5
787,1,3,5,2,4,5,2,2,2,0,0,2,3,4,2
788,1,2,2,5,5,5,3,5,5,1,.5,6,0,3.1111112,1
789,1,3,3,1,5,5,5,5,5,1,.5,1,2.5,3.2222223,2.5
790,1,3,5,2,4,4,2,4,4,1,1,4,1,3.8888888,5
791,1,1,1,3,3,4,2,2,2,1,0,,2.5,2.6666667,2
792,1,1,5,1,5,5,1,5,5,1,.5,5,2.5,3.3333333,4.5
793,1,3,5,2,5,4,2,5,4,0,.5,2,3,2.4444444,2.5
794,1,2,5,1,5,5,1,5,5,1,1,1,1,3.1111112,4.5
795,1,3,5,2,4,4,2,4,4,0,.5,,1.5,3.7777777,2.5
796,1,3,3,2,3,4,2,3,4,0,.5,2,2,2.8888888,1
797,1,1,5,3,4,3,5,1,1,0,0,4,2.5,3.6666667,3
798,1,2,3,1,5,5,1,5,5,0,1,2,1.5,,3
799,1,1,3,1,5,5,1,5,5,1,.5,2,3,3.2222223,3.5
800,1,3,4,3,4,4,3,3,3,1,.5,4,1.5,3.5555556,3.5
801,1,3,1,2,4,5,2,4,4,1,.5,1,1,3.2222223,2
802,1,1,3,2,4,4,2,4,4,0,.5,2,1,3.2222223,4
803,1,3,5,2,4,4,2,4,4,0,.5,4,2,3.2222223,3
804,1,3,5,4,4,4,3,3,4,0,.5,4,2,3.4444444,3.5
805,1,1,2,3,4,4,,2,2,0,.5,2,2,2.2222223,1.5
806,1,1,5,1,5,5,1,5,5,0,1,6,3,5,5
807,1,2,,2,4,4,2,4,4,0,.5,2,0,3,4
808,1,1,1,3,5,4,5,5,4,1,1,1,0,3.5555556,2
809,1,3,2,4,4,2,4,4,2,0,.5,4,0,3.2222223,4
810,1,3,5,5,5,5,5,5,5,1,.5,6,1,3.8888888,4
811,1,2,5,1,5,5,1,5,5,1,1,4,2,4,5
812,1,3,5,2,5,5,2,5,5,0,1,2,2,3.7777777,4.5
813,1,1,3,3,4,3,3,4,3,0,0,4,,3.4444444,
814,1,1,5,2,5,5,4,,,0,.5,6,3,3.8888888,5
815,1,3,5,2,5,5,2,5,5,1,1,6,.5,3.5555556,4.5
816,1,3,,3,3,4,3,3,3,,,,2.5,2.8888888,
817,1,3,4,3,3,3,3,3,3,1,.5,4,1,3,3
818,1,3,3,3,4,4,3,4,4,1,1,4,3,3.6666667,4.5
819,1,3,3,2,5,5,3,4,4,1,.5,5,2,3.6666667,4.5
820,1,3,5,3,4,4,3,4,4,0,.5,3,1,3.2222223,4.5
821,1,3,5,2,3,5,2,3,5,0,1,4,3,3,2.5
822,1,3,5,2,4,4,2,4,4,0,.5,2,2.5,3.5555556,4
823,1,3,1,3,4,3,4,2,2,0,.5,4,1.5,2.4444444,2.5
824,1,3,5,1,5,5,1,5,5,1,1,2,2.5,4,2.5
825,1,3,3,,4,,4,4,4,0,.5,1,1.5,3.1111112,1
826,1,3,3,1,5,5,1,5,5,0,1,2,2,3.8888888,3.5
827,1,3,1,1,5,5,1,5,5,1,.5,4,1.5,3.2222223,5
828,1,1,5,2,4,4,3,4,4,0,.5,4,2.5,3.3333333,4.5
829,1,3,5,1,4,4,1,5,5,1,.5,4,1.5,3.8888888,5
830,1,1,2,3,3,3,4,3,2,1,0,1,2,4.2222223,1.5
831,1,1,3,3,4,3,3,3,3,0,.5,,3,2.7777777,
832,1,3,4,1,4,4,1,4,4,1,.5,4,1.5,3.7777777,2.5
833,1,3,1,,5,,5,5,5,1,0,5,,3.2222223,4
834,1,3,1,2,5,5,1,5,5,0,0,1,3,1.5555556,1.5
835,1,3,4,3,5,4,2,5,4,1,.5,6,2,3.8888888,5
836,1,3,5,5,5,5,2,5,5,0,1,2,1,3.1111112,4
837,1,2,5,,5,,,5,,0,.5,4,,3.6666667,4.5
838,1,2,5,2,4,5,2,4,5,0,.5,2,3,3.6666667,2.5
839,1,1,5,1,4,3,1,4,3,0,1,4,,3.7777777,3.5
840,1,3,3,2,4,4,2,2,2,0,.5,1,2.5,,
841,1,1,5,2,4,4,5,2,1,0,1,5,3,3.8888888,4
842,1,3,5,2,4,4,2,4,4,0,.5,4,2,3.7777777,2
843,1,3,,,,,,,,0,,4,,,
844,1,3,2,3,4,5,2,4,5,1,1,6,1,3.3333333,4.5
845,1,3,3,1,5,5,1,5,5,1,.5,4,2,3.8888888,2
846,1,3,5,5,1,3,5,1,3,0,0,3,2.5,1.4444444,1
847,1,1,5,3,4,4,4,4,4,1,.5,4,2,4,4
848,1,1,5,3,3,3,3,3,3,1,.5,2,3,3.7777777,2.5
849,1,3,5,1,5,5,2,4,4,1,1,4,2.5,4.4444447,4
850,1,3,3,3,4,3,4,3,3,0,.5,3,2,2.8888888,2
851,1,3,3,2,4,4,2,3,4,1,1,4,3,4.4444447,5
852,1,3,5,3,4,3,4,3,3,0,0,1,3,1.7777778,2
853,1,2,5,2,4,5,2,4,5,0,0,4,2.5,3.1111112,1.5
854,1,3,4,3,4,4,3,4,4,0,.5,2,3,2.7777777,2.5
855,1,3,2,1,4,4,1,5,5,0,1,4,,4,4
856,1,1,5,1,5,5,1,5,5,1,1,7,1.5,4.5555553,5
857,1,1,5,2,4,3,2,4,3,0,0,2,3,2.7777777,3
858,1,3,3,1,5,5,1,5,5,0,1,1,3,4.4444447,4.5
859,1,1,5,,5,5,,4,4,0,.5,,2.5,3.6666667,4.5
860,1,3,5,1,5,5,1,5,5,0,1,4,2.5,3.5555556,2
861,1,3,5,3,3,3,3,3,3,1,.5,2,2,2.7777777,3.5
862,1,2,5,1,4,5,2,5,4,0,0,2,2.5,2.7777777,2.5
863,1,3,5,1,5,5,1,5,5,0,.5,2,2.5,4.4444447,5
864,1,3,5,2,4,4,2,4,4,0,1,5,2,4.1111112,5
865,1,3,5,4,4,4,,4,4,0,.5,4,3,2.6666667,2.5
866,1,3,4,3,4,4,3,4,4,1,.5,4,0,3.2222223,4.5
867,1,3,5,2,5,5,3,4,4,1,1,4,3,3.2222223,4
868,1,3,5,2,4,3,2,4,3,0,0,2,2,3.7777777,4
869,1,3,5,3,4,3,3,4,3,0,.5,2,1,2.5555556,2
870,1,3,4,1,5,5,1,5,5,1,1,7,2,4.6666665,5
871,1,1,5,2,5,5,2,4,4,0,1,5,,3.6666667,5
872,1,1,5,1,5,5,1,5,5,0,1,7,2,4.2222223,5
873,1,1,1,1,4,4,1,4,4,1,1,4,1,3.3333333,5
874,1,1,3,5,5,5,1,5,5,0,.5,2,2,2,1
875,1,2,3,1,4,4,2,4,4,0,1,2,2.5,1.7777778,1.5
876,1,1,4,1,4,5,2,4,5,1,1,1,2.5,3.6666667,4.5
877,1,1,2,3,5,4,3,4,4,1,.5,5,1.5,3.6666667,4.5
878,1,3,4,1,5,5,1,5,5,0,0,1,2.5,3.4444444,3
879,1,1,4,2,5,5,2,5,5,1,1,4,1.5,3.6666667,4.5
880,1,1,2,3,4,4,,4,4,0,.5,2,2.5,2.8888888,1.5
881,1,3,1,1,4,4,3,3,3,0,.5,3,2,2.8888888,3
882,1,3,2,3,4,3,3,4,3,1,0,2,1.5,2.5555556,2
883,1,1,4,3,4,4,3,4,4,0,.5,2,2,2.5555556,2.5
884,1,3,5,3,4,3,2,4,3,0,.5,2,2.5,2.8888888,3.5
885,1,2,5,,4,4,2,4,4,1,1,3,2.5,3.8888888,4.5
886,1,1,5,2,5,4,1,5,5,0,1,4,2,3.6666667,4.5
887,1,1,5,5,1,1,5,1,1,0,.5,2,2,2.5555556,1.5
888,1,1,4,2,5,4,1,5,5,0,1,3,,3.2222223,3.5
889,1,1,5,,5,5,,5,5,1,1,5,2.5,4.1111112,5
890,1,2,5,3,4,4,3,4,4,0,.5,,3,3.4444444,
891,1,1,5,,5,4,,4,4,0,1,6,3,4.3333335,5
892,1,2,5,3,5,5,3,4,4,1,1,2,2,3.1111112,5
893,1,1,5,4,4,4,4,4,4,0,.5,3,2.5,3,3.5
894,1,3,5,4,4,4,4,4,4,0,0,4,3,3.6666667,5
895,1,3,2,3,3,4,3,3,4,0,,,3,2.3333333,
896,1,1,5,2,4,5,2,4,5,0,1,5,2.5,3.7777777,5
897,1,1,2,2,4,4,3,3,3,1,.5,4,1,3.3333333,3.5
898,1,2,5,,4,4,,4,4,0,.5,3,2.5,2.3333333,2.5
899,1,3,5,1,5,5,1,5,5,1,1,6,2.5,3.3333333,5
900,1,1,5,1,5,5,1,5,5,0,1,2,3,3.5555556,4
901,1,3,3,1,5,5,1,5,5,1,.5,5,0,3.7777777,5
902,1,3,5,,,,,,,0,1,2,0,3.6666667,4.5
903,1,1,3,4,2,3,4,2,3,0,0,3,2,2.5555556,2.5
904,1,1,,,,,,,,,,,,,
905,1,1,5,2,4,4,2,5,5,0,.5,6,2,2.8888888,5
906,1,3,5,2,4,4,2,4,4,1,1,5,2,3.8888888,4.5
907,1,1,2,5,5,5,4,4,4,0,1,4,2,,5
908,1,3,4,2,4,4,,4,4,0,1,4,3,3.4444444,4.5
909,1,1,4,3,4,5,3,3,3,0,.5,3,2,3,4
910,1,1,5,2,4,5,2,2,5,1,1,5,2.5,3.3333333,5
911,1,2,5,2,4,4,2,4,4,0,1,4,2,3.3333333,4.5
912,1,1,2,2,5,3,2,5,3,0,0,3,2.5,3.1111112,3.5
913,1,1,2,3,5,4,3,4,3,1,.5,2,1,2,3
914,1,1,1,3,3,3,3,3,3,0,1,3,,3,1.5
915,1,3,4,3,5,5,3,4,4,1,.5,4,0,3.1111112,3.5
916,1,1,4,2,4,3,3,3,3,0,1,4,2.5,3.3333333,4
917,1,3,3,3,4,4,3,4,4,0,.5,4,2.5,3.7777777,4
918,1,1,3,1,5,5,1,5,5,1,1,6,1.5,4.5555553,5
919,1,3,5,2,4,5,1,5,5,0,1,2,1.5,3.4444444,3
920,1,3,5,3,3,4,3,3,4,0,,,.5,,
921,1,3,5,2,4,4,2,4,4,0,.5,6,2,3.5555556,5
922,1,1,4,1,5,4,2,5,3,1,.5,4,2.5,3.5555556,3.5
923,1,1,5,5,5,5,5,5,5,0,1,6,2,3.4444444,4.5
924,1,1,5,1,4,5,1,5,5,0,.5,4,3,3.1111112,1
925,1,3,5,2,4,5,3,4,4,0,1,5,2.5,4,5
926,1,2,4,4,4,4,4,4,5,0,.5,2,3,2.4444444,2
927,1,1,4,3,3,4,3,3,4,0,,,2,3,2.5
928,1,3,4,3,4,3,4,4,3,1,.5,4,2.5,3.1111112,4
929,1,3,5,1,3,5,2,2,5,1,.5,2,1.5,3.5555556,3
930,1,2,,,,,,,,,,,1.5,,
931,1,1,3,3,4,4,3,4,4,1,1,3,1.5,3.5555556,5
932,1,2,5,2,4,4,3,4,4,1,1,4,2.5,4.3333335,5
933,1,3,1,2,4,5,2,4,4,0,.5,4,0,,5
934,1,3,5,5,1,1,5,1,1,0,0,2,2,2.3333333,2
935,1,3,5,2,4,4,2,4,4,1,1,4,3,3.8888888,5
936,1,1,5,2,5,3,2,5,1,0,,,2,3.1111112,
937,1,2,1,,5,5,,5,5,0,1,7,2,4.5555553,5
939,1,3,3,3,4,2,2,2,2,0,.5,2,2,3.3333333,2
940,1,3,5,3,4,4,4,3,2,0,.5,4,1.5,1.7777778,2.5
941,1,1,,1,5,4,2,5,2,,,,2.5,,
942,1,1,5,1,5,5,5,1,1,0,1,4,3,4.5555553,5
943,1,3,5,4,2,2,4,2,2,0,.5,4,2,3.5555556,4.5
944,1,3,,1,4,4,2,4,4,,,,1,,
945,1,3,4,1,5,5,1,4,4,0,,,1,2.8888888,
946,1,3,5,2,4,4,2,4,4,0,1,7,2.5,4,5
947,1,2,5,2,4,3,2,4,3,1,1,4,1.5,4.2222223,5
948,1,3,5,1,4,5,2,3,4,0,1,4,2,3.1111112,4.5
949,1,3,4,3,4,4,3,4,4,0,.5,4,2,3,3
950,1,3,5,3,4,4,3,3,3,1,.5,4,2.5,2.6666667,2.5
951,1,3,3,,,4,,,4,1,.5,3,.5,4.1111112,5
952,1,3,5,2,4,5,1,4,5,0,.5,3,3,3.4444444,4
953,1,3,5,2,5,5,2,5,5,0,1,6,2,3.8888888,5
954,1,3,3,2,4,5,2,4,5,0,1,3,2,2.6666667,4
955,1,1,5,2,4,2,2,4,2,0,.5,4,2,3.4444444,2.5
956,1,1,,1,5,5,1,5,5,,,,2.5,3.5555556,
957,1,1,,,,,,,,,,,2.5,,
958,1,2,,,,,,,,,,,2.5,,
959,1,3,5,3,4,4,4,4,4,0,0,4,.5,3.2222223,4.5
960,1,3,5,1,4,4,,4,4,0,,,2.5,1.8888888,
961,1,3,4,1,4,5,1,5,5,0,1,4,2.5,4.1111112,4.5
962,1,1,,,,,,,,,,,1,,
963,1,3,4,,5,5,,4,5,0,1,5,1,3.6666667,5
964,1,1,1,,,4,,,4,1,,,0,3.4444444,
965,1,1,,3,3,3,3,3,3,1,.5,2,2,2,2
966,1,2,3,3,3,5,4,3,5,0,1,4,2.5,3.1111112,3
967,1,1,4,3,4,2,3,4,2,0,.5,3,.5,4.1111112,4.5
968,1,2,5,4,2,4,4,2,4,0,,,2,3.8888888,
969,1,2,3,2,4,4,1,4,4,1,0,1,1,3.7777777,3.5
970,1,3,5,1,4,5,1,4,5,0,1,4,0,3.5555556,5
971,1,1,5,1,4,5,1,5,5,0,1,4,2.5,4,5
972,1,3,5,2,5,5,2,4,4,1,.5,4,2,3.7777777,5
973,1,3,1,1,5,5,2,5,5,1,1,4,0,3.1111112,4.5
974,1,1,,2,4,4,2,4,4,,,,2,,
975,1,3,2,2,4,4,2,4,4,0,1,5,2.5,2.5555556,3
976,1,2,5,2,5,5,1,5,5,0,1,2,3,4.1111112,5
977,1,3,5,3,4,2,2,2,2,0,1,2,.5,3.7777777,5
978,1,3,5,4,4,4,2,4,5,0,0,3,2,2,3
979,1,3,3,4,2,5,5,2,3,1,.5,6,1,3.5555556,4.5
980,1,3,1,3,4,4,3,4,4,0,1,3,1.5,3.2222223,5
981,1,3,4,2,4,4,2,4,4,0,.5,2,1.5,2.5555556,1.5
982,1,3,5,1,5,5,3,4,3,0,.5,2,2,4,5
983,1,3,3,2,5,5,2,5,5,0,1,4,3,3.8888888,5
984,1,1,5,1,5,5,1,5,5,0,.5,6,1.5,3.5555556,5
985,1,3,5,5,2,4,5,2,4,0,0,2,1.5,1.8888888,1.5
986,1,1,5,4,4,2,5,2,1,0,0,2,3,2.7777777,4.5
987,1,3,5,1,5,5,1,5,5,0,1,4,2.5,3.3333333,5
988,1,1,,3,3,4,4,4,4,0,.5,4,1,3.4444444,1
989,1,1,5,1,5,5,1,5,5,1,.5,4,3,4.8888888,5
990,1,3,2,1,5,5,1,5,5,1,1,4,1,4.3333335,4.5
991,1,3,5,1,4,4,1,4,4,1,.5,3,1,3.7777777,3.5
992,1,1,5,1,5,5,2,5,5,0,.5,7,2.5,4.4444447,5
993,1,1,5,2,4,4,2,4,4,0,.5,2,2,2.2222223,2
994,1,3,4,2,4,4,,4,5,1,.5,2,2,3.1111112,3
995,1,1,,2,4,4,2,4,4,,,,2,2,
996,1,1,5,4,4,4,4,4,4,1,,,2,3.8888888,
997,1,1,,2,4,4,2,5,5,,,,,,
998,1,1,,,,,,,,,,,3,,
999,1,3,,,,,,,,,,,2,,
1000,1,3,,3,4,3,3,4,3,,,,1.5,2.8888888,
1001,1,2,,,,,,,,,,,,,
1002,1,2,,,,,,,,,,,2,,
1003,1,3,,3,4,4,3,4,4,,,,.5,1.6666666,
1004,1,1,,5,2,2,2,5,5,,,,1,,
1005,1,3,,2,4,4,2,4,4,,,,3,3.3333333,
1006,1,3,,2,4,4,2,4,4,,,,2.5,,
1007,1,1,,2,4,4,2,4,4,,,,1.5,,
1008,1,2,,3,4,4,3,3,3,,,,.5,,
1010,1,3,,3,3,3,3,3,3,,,,1.5,,
1011,1,3,,3,5,5,3,3,3,,,,0,,
1012,1,3,3,2,5,4,2,5,4,1,,,0,3.1111112,
1013,0,1,,,4,,,4,,0,.5,2,,2.3333333,1
1014,0,1,5,1,5,4,2,4,4,0,.5,3,2.5,2.8888888,5
1015,0,1,5,2,4,3,2,5,5,0,0,4,2,3,4
1017,0,1,2,3,3,3,3,3,3,1,.5,5,1,3.7777777,4.5
1018,0,1,5,2,2,2,5,2,2,1,.5,3,2.5,3.8888888,4
1019,0,1,5,1,5,5,1,5,4,0,,4,3,3.5555556,5
1020,0,1,4,4,3,2,5,1,1,0,.5,2,2,2.2222223,1
1021,0,1,5,2,3,5,5,3,5,0,0,3,3,2.4444444,2
1022,0,1,3,2,4,4,2,4,4,0,0,4,.5,3,2.5
1023,0,1,2,4,4,4,4,4,4,0,.5,4,.5,,3.5
1024,0,1,1,4,5,4,5,3,4,1,1,4,1,3.5555556,4
1025,0,1,5,3,5,5,3,5,5,1,.5,4,2,3.3333333,3
1026,0,1,5,2,3,3,3,3,3,1,.5,6,2,3.5555556,4
1027,0,1,2,5,2,3,5,2,3,0,0,2,2.5,2.8888888,2
1028,0,1,2,,,,,,,0,.5,2,,,3
1029,0,1,2,3,3,5,3,5,5,0,.5,3,1,3.1111112,2.5
1030,0,1,5,3,3,3,4,3,3,1,.5,6,2.5,4.5555553,5
1031,0,1,2,4,4,4,4,4,4,0,.5,2,0,3.1111112,2
1032,0,1,1,3,3,3,3,3,3,1,.5,2,0,,2.5
1033,0,1,1,3,3,4,4,4,4,1,1,4,2.5,3,4.5
1034,0,1,5,3,3,3,5,2,2,0,0,2,,2.8888888,2
1035,0,1,5,3,4,4,3,4,4,0,.5,6,2.5,4.1111112,4.5
1036,0,1,1,2,4,4,1,4,4,1,1,4,3,3.5555556,5
1037,0,1,3,1,5,5,1,5,5,1,.5,6,2,3.7777777,5
1038,0,1,3,4,3,4,4,3,4,0,.5,2,2.5,2.4444444,2
1039,0,1,1,3,3,3,3,3,3,1,0,4,0,3,2.5
1040,0,1,3,2,3,5,2,3,4,1,,4,2,3.4444444,3
1041,0,1,3,3,4,4,3,4,4,0,0,1,2,2.6666667,1
1042,0,1,3,3,4,5,3,4,4,0,.5,4,,3.6666667,5
1043,0,1,5,,4,5,,5,5,0,1,7,2,4.3333335,4.5
1044,0,1,5,3,3,4,3,4,4,0,0,4,2.5,2.3333333,2
1045,0,1,2,1,4,4,2,2,2,0,.5,2,2.5,3.4444444,3
1046,0,1,5,4,4,4,4,4,4,0,.5,4,2,2.8888888,3
1047,0,1,5,2,4,4,3,3,2,0,.5,6,3,4.4444447,4.5
1048,0,1,5,3,3,3,3,3,3,1,1,4,2,3,3
1049,0,1,5,1,5,5,1,5,5,0,1,4,3,3.8888888,5
1050,0,1,5,,5,5,1,5,1,0,0,1,3,3.2222223,3
1051,0,1,5,3,3,4,4,2,2,0,0,3,2,3.3333333,3.5
1052,0,1,5,2,5,,2,5,5,0,1,5,1,4.1111112,5
1053,0,1,4,2,4,4,2,4,4,0,1,1,,3,2
1054,0,1,5,,5,5,,5,5,0,1,2,2.5,3.8888888,4.5
1055,0,1,2,4,4,4,3,3,3,1,.5,4,1.5,3,3
1056,0,1,5,3,3,3,3,3,3,0,.5,2,2.5,3.1111112,2.5
1057,0,1,4,,,5,4,4,4,0,.5,4,,3,3.5
1058,0,1,,4,4,,,,3,1,.5,4,,3.4444444,3
1059,0,1,1,4,5,,4,4,4,1,0,4,1.5,4,4.5
1060,0,1,1,2,3,4,4,4,4,1,.5,,0,3.3333333,2
1061,0,1,2,3,5,5,3,3,3,1,1,4,,3.6666667,4.5
1062,0,1,5,3,3,3,2,2,2,0,.5,4,2.5,,3.5
1063,0,1,5,2,4,4,2,4,4,0,.5,4,2.5,3.1111112,4
1064,0,1,4,1,5,5,5,5,1,0,0,4,3,3,4
1065,0,1,5,3,1,2,3,1,2,0,.5,4,2,3.1111112,2
1066,0,1,2,2,5,5,3,5,5,1,1,4,3,3.7777777,4.5
1067,0,1,5,4,3,4,4,3,3,0,1,4,3,3,4.5
1068,0,1,3,2,5,5,2,5,5,0,.5,6,2.5,3.8888888,5
1069,0,1,5,4,4,5,4,4,3,1,.5,2,3,3.3333333,4.5
1070,0,1,5,4,3,3,4,3,3,0,.5,2,3,2.2222223,2
1071,0,1,2,3,3,3,3,3,3,1,.5,6,2,5,5
1072,0,1,3,3,5,4,4,4,4,0,1,4,3,3.4444444,5
1073,0,1,5,,5,5,4,5,5,0,1,4,2.5,3.2222223,4.5
1074,0,1,5,,4,4,3,3,3,0,.5,4,2.5,4,4.5
1075,0,1,1,3,2,4,3,2,3,0,0,2,1,2.5555556,2.5
1076,0,1,5,5,5,5,4,4,4,1,,2,3,3.2222223,5
1077,0,1,2,2,4,4,2,4,4,0,1,4,2.5,3.3333333,2.5
1078,0,1,1,,,,,5,5,0,.5,2,,4.1111112,4.5
1079,0,1,5,2,5,4,2,5,5,1,.5,4,,3.8888888,5
1080,0,1,1,4,3,4,2,4,5,1,.5,4,2,2.8888888,4.5
1081,0,1,2,5,1,3,5,1,2,1,0,1,2,1.8888888,1.5
1082,0,1,5,2,4,4,3,4,4,0,1,1,3,3.6666667,4.5
1083,0,1,5,3,4,3,3,3,3,0,0,6,1.5,1.7777778,1
1084,0,1,3,1,5,5,1,5,5,1,1,6,2.5,3.8888888,5
1085,0,1,3,3,3,3,3,3,3,0,.5,4,1,3.6666667,4.5
1086,0,1,2,3,3,3,3,3,3,1,.5,3,1,2.8888888,4.5
1087,0,1,5,5,1,1,5,1,1,0,.5,4,2,4.3333335,2
1088,0,1,4,1,3,4,1,3,4,0,.5,4,,2.8888888,2
1089,0,1,3,2,4,4,2,5,5,0,.5,1,2.5,3.6666667,2
1090,0,2,2,2,4,4,2,4,4,0,.5,6,1,4,4.5
1091,0,2,3,3,4,4,3,3,3,0,0,4,2,3.7777777,3.5
1092,0,1,2,1,5,5,1,5,5,1,.5,6,2,4.5555553,5
1093,0,2,4,4,4,4,,4,4,1,,,,,
1094,0,2,4,4,3,4,4,3,3,0,1,4,2.5,2.3333333,4.5
1095,0,2,5,3,4,4,3,5,5,1,1,3,2,3.4444444,3.5
1096,0,2,2,4,4,4,4,4,4,0,.5,2,2,3,2
1097,0,2,1,2,4,4,2,3,3,1,.5,2,,3,3
1098,0,2,5,2,4,5,2,4,4,0,.5,4,1,3.4444444,5
1099,0,3,4,4,4,4,4,4,4,0,1,4,2.5,3.2222223,4.5
1100,0,2,5,3,4,4,4,3,3,0,.5,2,3,3.5555556,4
1101,0,2,5,1,5,5,1,5,5,0,.5,4,2,3.1111112,2
1102,0,1,5,1,5,3,1,5,3,0,1,4,,3.3333333,4.5
1103,0,1,5,1,5,5,5,5,5,1,1,,3,3.6666667,
1104,0,1,2,2,4,4,2,4,4,1,.5,6,2.5,3.2222223,4.5
1105,0,2,4,3,4,4,3,3,3,1,1,2,,3,2
1106,0,2,2,2,3,3,3,3,3,0,.5,4,1,3.6666667,3
1107,0,2,5,,4,,,4,,0,.5,1,2,2.4444444,4
1108,0,1,5,5,1,1,5,1,1,0,1,3,3,1.4444444,1
1109,0,1,3,4,4,4,4,4,4,0,.5,2,,2.8888888,1.5
1110,0,1,5,2,2,2,2,3,3,0,.5,4,2,3.2222223,2.5
1111,0,1,5,4,4,3,3,4,4,0,.5,4,2,3.6666667,5
1112,0,1,3,3,5,5,3,3,3,1,.5,5,,3.3333333,4.5
1113,0,1,5,1,1,1,1,1,1,0,.5,4,3,2.4444444,4
1114,0,1,3,2,4,4,2,2,2,0,1,7,,2.4444444,4
1115,0,3,2,3,5,5,,5,5,1,.5,6,1.5,4.1111112,5
1116,0,1,5,1,4,5,1,5,5,0,.5,1,2.5,2.7777777,4.5
1117,0,1,5,1,1,1,2,2,2,1,.5,5,2,,4.5
1118,0,1,1,,4,4,,4,4,1,.5,2,1,2.3333333,
1119,0,2,2,,,,,,,0,,,1.5,3.3333333,2.5
1120,0,1,5,,5,,,5,,0,.5,4,,4,5
1121,0,1,5,1,4,4,1,4,4,1,1,4,3,3.1111112,1
1122,0,1,5,1,5,5,1,5,5,1,.5,6,3,4.3333335,5
1123,0,1,5,1,5,5,1,5,5,0,1,2,3,,5
1124,0,1,1,1,5,5,1,5,5,0,.5,1,2,3.8888888,5
1125,0,1,,4,4,3,4,4,3,,,,2.5,,
1126,0,1,5,3,3,3,2,4,3,1,.5,4,1.5,3.3333333,5
