ident,web,state,trec3,noman2,protect2,restore2,wnoman2,wprotect2,wrestore2,women,spend2,polview2,seeind2,nepind2,gccind2
112,1,1,5,1,5,5,1,5,5,1,1,6,2,4,4.5
113,1,1,4,3,2,4,4,4,4,0,.5,2,3,2.1111112,1.5
114,1,2,5,2,4,5,2,4,5,1,1,4,2,4.6666665,5
115,1,1,5,2,4,4,2,4,4,0,1,3,3,2.6666667,3.5
116,1,3,1,5,1,5,5,1,5,0,1,4,1,3.7777777,5
117,1,1,4,1,5,5,1,5,5,1,.5,1,2.5,,2.5
118,1,3,5,,4,4,,3,3,1,.5,4,2,3.4444444,4.5
119,1,3,2,2,3,4,3,3,3,0,.5,4,.5,2.8888888,2
120,1,1,2,2,4,4,2,3,3,0,.5,2,2,3.4444444,3
121,1,1,4,3,3,3,3,3,3,0,.5,2,2.5,4.6666665,2.5
122,1,3,5,2,5,4,2,5,4,0,.5,2,1.5,2.1111112,1.5
123,1,1,3,1,3,5,2,3,5,0,.5,2,1.5,2.5555556,1.5
124,1,1,4,1,4,5,5,1,1,0,1,3,2,2.5555556,4.5
125,1,3,5,2,5,4,1,5,5,0,.5,4,2,3.4444444,2
126,1,3,4,4,2,2,4,2,2,0,.5,6,2,3.2222223,4
127,1,2,2,3,4,3,4,3,3,0,0,2,1.5,3.4444444,3.5
128,1,1,2,1,4,5,1,4,5,0,1,5,2.5,3.4444444,4
129,1,2,5,5,4,4,2,2,2,0,.5,2,2.5,2.1111112,2
130,1,2,2,2,4,4,2,4,4,0,.5,1,2,3,2.5
131,1,1,2,,5,4,5,3,3,0,.5,2,,3,3.5
132,1,1,2,1,5,5,1,5,5,0,1,7,1,2.8888888,4
133,1,1,,1,4,4,1,4,4,1,.5,2,2.5,3.3333333,1.5
134,1,1,5,3,3,5,1,1,1,1,.5,3,2.5,3.8888888,5
135,1,3,3,1,4,4,1,4,4,0,1,4,2.5,2.5555556,3
136,1,3,2,3,3,3,3,3,3,0,.5,4,1,2.8888888,2
137,1,1,5,3,4,4,4,3,3,,0,2,2,2.4444444,1
138,1,2,5,1,4,4,2,4,4,0,.5,3,2.5,4.1111112,3
139,1,3,4,4,5,5,5,5,5,0,1,2,3,4,4.5
140,1,3,5,4,1,4,5,1,1,0,0,1,1.5,2.4444444,2.5
141,1,3,5,1,5,5,1,5,5,0,1,4,2,3.6666667,4.5
142,1,3,2,1,4,5,1,4,5,1,.5,2,2,3.8888888,5
143,1,3,5,1,4,4,1,4,4,0,.5,1,3,2.6666667,1
144,1,1,2,4,3,3,5,2,2,0,.5,2,2.5,1.7777778,2
145,1,3,3,1,5,5,1,5,5,0,1,3,3,2.8888888,4
146,1,3,5,2,4,4,2,4,4,0,1,5,2.5,3.3333333,5
147,1,1,2,1,4,4,3,1,3,0,.5,5,2.5,3.3333333,4.5
148,1,3,5,1,5,5,1,4,4,0,.5,1,3,3.4444444,1.5
149,1,1,2,2,4,4,2,4,4,0,.5,6,2.5,3.4444444,4
150,1,3,5,2,5,5,2,5,5,0,1,4,1.5,4.6666665,4
151,1,3,5,1,4,3,4,3,3,0,.5,4,2,,3
152,1,1,4,3,4,4,4,3,3,0,0,4,2.5,4.5555553,2.5
153,1,3,5,1,5,5,1,5,5,0,1,4,2.5,2.7777777,1.5
154,1,2,3,3,3,4,5,3,3,0,0,2,3,3.3333333,3
155,1,3,5,2,4,3,,4,3,0,.5,5,3,3.3333333,4.5
156,1,3,4,1,5,5,1,5,5,0,1,2,2.5,4.7777777,5
157,1,1,5,4,4,4,4,2,2,1,1,4,3,2.6666667,2.5
158,1,3,5,2,5,5,2,5,5,0,.5,2,1.5,3.4444444,2.5
159,1,1,5,3,3,4,3,3,4,0,.5,6,3,3.5555556,4.5
160,1,1,5,3,4,4,2,4,4,0,.5,3,2,3.1111112,2
161,1,2,5,1,5,5,1,4,5,0,1,2,3,2.7777777,2
162,1,1,5,4,1,1,4,2,2,0,0,1,2,2.5555556,2
163,1,1,5,3,4,1,3,4,1,0,0,4,1.5,2.5555556,3
164,1,2,4,3,4,3,3,3,3,1,.5,4,2,3.6666667,2.5
165,1,1,1,2,3,5,3,3,3,1,1,4,.5,2.8888888,3.5
166,1,1,5,1,5,5,1,5,5,0,1,7,3,3.4444444,5
167,1,3,5,2,4,5,1,4,5,0,.5,3,2.5,3,5
168,1,1,2,2,4,4,2,4,3,0,.5,2,1,2.5555556,2
169,1,1,3,4,2,3,5,1,1,0,0,3,1.5,3.1111112,3.5
170,1,1,3,1,5,5,3,4,4,0,1,1,3,4.8888888,5
171,1,3,2,4,4,4,3,3,3,0,.5,4,.5,3.3333333,4.5
172,1,1,5,1,5,5,1,5,5,0,.5,4,1,3.1111112,2.5
173,1,2,3,2,4,4,2,4,4,1,.5,2,2,3.6666667,3
174,1,1,5,2,5,5,2,5,5,0,.5,1,2.5,1.2222222,1.5
175,1,1,2,1,5,5,1,5,5,1,.5,5,2,3.7777777,4.5
176,1,1,4,4,4,4,3,4,4,0,.5,2,2,3.3333333,3
177,1,1,5,2,4,4,1,5,5,0,1,2,2.5,2.1111112,1
178,1,3,4,1,5,5,2,5,5,0,1,2,3,3.5555556,4.5
179,1,1,5,1,5,5,1,5,5,0,1,5,3,4.6666665,5
180,1,3,5,1,4,4,1,4,4,1,1,5,2,3.5555556,4
181,1,3,5,3,3,3,3,4,4,1,.5,2,2,3.6666667,2.5
182,1,1,4,4,4,4,,,,0,0,2,2.5,2.8888888,2
183,1,3,5,1,5,5,1,5,5,0,1,3,3,3.3333333,4
