herd,month,monitoring_time,sex_of_herd,total_peeps,avgtime,people_present,wewd,int,easting,northing
183,6,17,F,15,15.7,33,Weekday,management_applied,710468.7082,735131.5498
120,6,13,F,8,16.43333333,12,Weekday,management_applied,710453.2571,735098.574
180,6,180,F,10,14.35,197,Weekday,management_applied,710558.0411,735155.984
20,6,20,F,0,16.33333333,42,Weekday,management_applied,710537.6539,735198.2749
25,6,21,F,0,16.76666667,40,Weekday,management_applied,710535.2281,735203.7844
23,5,147,F,5,14.56666667,87,Weekday,before_management,710375.4987,734947.0446
87,6,12,F,0,13.41666667,15,Weekend,management_applied,710164.1574,735204.0738
66,6,36,F,0,14.53333333,85,Weekend,management_applied,710202.7764,735190.108
12,6,72,F,2,15.81666667,111,Weekend,management_applied,710197.0257,735170.9947
131,7,26,F,0,12.66666667,10,Weekday,management_applied,710172.9957,735334.1884
169,7,275,F,38,15.36666667,174,Weekday,management_applied,710130.1308,735366.6284
66,7,137,F,0,9.85,38,Weekday,management_applied,710161.125,735404.7498
130,7,75,F,0,9.7,12,Weekend,management_applied,710056.3641,735508.0845
10,5,145,M,0,8.95,7,Weekday,before_management,712381.1782,734674.603
110,5,40,M,7,10.41666667,33,Weekend,before_management,712295.838,734771.9078
43,7,7,M,1,14.75,21,Weekday,before_management,711410.8909,734828.5636
15,7,57,M,9,15.43333333,31,Weekday,before_management,711056.43,734551.543
40,7,76,M,5,16.75,56,Weekday,before_management,711105.4138,734435.3774
46,7,166,M,105,15.68333333,101,Weekday,before_management,711649.7361,735120.1717
21,7,72,M,73,15.85,106,Weekend,before_management,711659.1782,734469.5998
60,7,40,M,17,16.83333333,25,Weekend,before_management,711623.7667,734383.7116
45,7,205,M,9,10.38333333,64,Weekday,before_management,711878.1866,734484.3632
24,7,16,M,0,12.55,0,Weekday,before_management,711773.2294,734358.5926
38,7,51,M,8,13.36666667,12,Weekday,before_management,710946.8527,734722.8333
15,7,279,M,25,10.46666667,77,Weekday,before_management,711539.6076,734871.4989
41,5,70,M,6,11.41666667,48,Weekend,before_management,712226.8715,734972.1161
15,7,34,M,2,13.13333333,21,Weekday,before_management,711224.496,734688.7841
31,7,17,M,0,13.68333333,5,Weekday,before_management,711293.9078,734464.8417
68,7,315,M,5,11.41666667,54,Weekday,before_management,711938.1544,734402.6517
42,7,22,M,14,15.61666667,14,Weekend,before_management,711890.3066,735047.1003
18,7,11,M,0,15.96666667,6,Weekend,before_management,711900.3863,735080.2863
16,7,50,M,0,16.61666667,2,Weekend,before_management,711625.9661,735058.8726
23,7,21,M,19,15.23333333,40,Weekday,before_management,712334.2681,734706.4586
18,7,12,M,0,15.65,7,Weekday,before_management,712412.5915,734761.1759
41,7,21,M,15,16.08333333,48,Weekday,before_management,712202.6895,734908.7032
63,5,72,M,0,8.683333333,6,Weekday,before_management,712379.2516,734664.5645
51,7,27,M,0,15.58333333,42,Weekday,before_management,711227.6019,734461.8436
58,7,65,M,0,16.45,41,Weekday,before_management,711125.6983,734514.3813
122,5,160,M,13,10.66666667,116,Weekday,before_management,712389.4172,734708.5908
72,5,85,M,0,8.7,13,Weekday,before_management,712244.3369,734966.4852
126,5,150,M,11,10.75,111,Weekday,before_management,712286.0064,734956.1177
22,5,119,M,0,14.23333333,10,Weekday,before_management,712090.8698,735070.0133
12,5,7,M,7,15.55,7,Weekday,before_management,712215.6833,734974.4754
9,5,25,M,0,16.03333333,9,Weekday,before_management,711904.4334,734954.9038
37,5,58,M,10,16.98333333,23,Weekday,before_management,711686.9501,734946.414
110,5,105,M,20,11.16666667,76,Weekday,before_management,712207.808,734976.2284
85,5,40,M,19,13.25,19,Weekend,before_management,711641.2299,734782.6663
42,5,140,M,50,14.75,117,Weekend,before_management,711399.6281,734585.4376
57,5,90,M,0,16.75,23,Weekend,before_management,711656.8563,734522.628
110,5,277,M,94,15.38333333,110,Weekday,before_management,712326.1295,734814.2658
12,5,93,M,0,9.516666667,2,Weekday,before_management,711979.9227,734780.5775
126,5,80,M,23,11.33333333,30,Weekday,before_management,712270.1061,734929.5063
20,5,90,M,0,8.75,4,Weekday,before_management,711903.9186,734729.2396
39,5,200,M,2,11.41666667,30,Weekday,before_management,712340.7216,734733.2974
32,5,57,M,4,8.733333333,9,Weekend,before_management,712239.8967,735037.0426
70,5,62,M,6,9.733333333,42,Weekend,before_management,712298.5667,735003.296
72,5,169,M,79,11.65,199,Weekend,before_management,712291.603,734998.6085
117,5,97,M,2,9.216666667,11,Weekend,before_management,711825.5244,735092.4159
80,5,107,M,0,11,21,Weekend,before_management,711634.1358,734840.8994
25,5,8,M,0,12.06666667,11,Weekend,before_management,711999.3923,734638.4787
63,5,26,M,2,12.78333333,31,Weekend,before_management,711934.5005,734733.0416
31,5,285,M,4,15.61666667,63,Weekday,before_management,711793.9391,735091.8799
104,5,224,M,69,15.7,172,Weekday,before_management,712296.8793,734965.9202
