site,name,area,ph,O2,Temp,TDS,Conductivity,Fluoride,Chloride,Nitrite,Bromide,Nitrate,Phosphate,Sulfate,TOC,fungus,month
impact7,Bradford on Tone,downstream,7,5.6,12.5,579,528,0.0695,32.3289,1.9349,0.0749,43.7876,2.7272,31.4603,3.93,1200,November
impact7,Bradford on Tone,downstream,7,5.7,12.4,544,527,0.0761,31.8068,1.6703,0.0713,41.5365,2.4667,30.019,14,1126.5,November
impact8,Haselbury Plucknett,downstream,7,6.2,12.6,500,688,0.1287,28.7844,0.0329,0.0829,22.2327,1.4165,30.8588,2.94,200,November
impact8,Haselbury Plucknett,downstream,7.05,6.1,12.4,488,698,0.1316,27.827,0.0281,0.0825,21.7597,1.5539,32.0597,3.02,236,November
impact8,Haselbury Plucknett,downstream,7.2,6.21,12.5,488,690,0.1254,28.8863,0.0212,0.0837,22.4769,1.5182,32.205,2.92,218,November
impact1,Dorchester,upstream,8.5,10.5,9.7,290,520,0.0448,19.9784,0.0176,0.058,23.3351,0.045,12.148,3.26,0,November
impact1,Dorchester,upstream,8.3,10.45,9.8,287,520,0.0583,18.8121,0.0294,0.0699,23.3036,0.0699,12.0706,3.28,3,November
impact1,Dorchester,upstream,8.4,10.3,10,281,500,0.0506,18.9356,0.0391,0.0735,23.5058,0.0617,12.2516,3.02,1.5,November
impact3,Iwerne Minster,upstream,7.8,9.1,10.5,300,500,0.0555,20.2627,0.1873,0.081,30.7057,0.1106,21.0141,2.43,0,November
impact3,Iwerne Minster,upstream,7.82,9,10.2,312,500,0.0554,18.9677,0.1079,0.0667,30.5528,0.1095,20.9154,3.01,0,November
impact3,Iwerne Minster,upstream,7.81,9.2,9.1,301,500,0.0617,19.2165,0.0287,0.1014,29.8563,0.11005,21.1102,2.53,0,November
impact5,Wellington,upstream,8.4,10.1,7.4,250,414,0.0642,16.1231,0.0604,0.0519,15.5916,0.017,11.7522,3.7,1,November
impact5,Wellington,upstream,8.44,9.9,7.5,251,412,0.0708,16.7832,0.0682,0.0582,17.1628,0.0233,12.7609,3.53,2,November
impact5,Wellington,upstream,8,9.88,7,231,400,0.0616,15.1067,0.0478,0.0556,15.8315,0.0296,11.5832,4.25,0,November
impact6,Podimore,upstream,8.1,8.01,11,403,600,0.277,52.8529,0.2276,0.0984,17.6177,0.0864,34.9874,4.93,0,November
impact6,Podimore,upstream,8.12,8.5,11.1,410,654,0.2805,52.391,0.2399,0.0898,17.6626,0.0825,34.9982,5.47,0,November
impact6,Podimore,upstream,8.07,8,10.5,412,600,0.2823,52.7435,0.2212,0.0898,17.7872,0.1446,35.3518,4.98,0,November
impact7,Bradford on Tone,upstream,7.77,7.4,10,420,490,0.0695,19.2872,0.0246,0.0647,21.2539,0.2108,18.3313,3.31,3,November
impact7,Bradford on Tone,upstream,7.87,7.6,10.1,431,484,0.068,19.1807,0.0275,0.0703,21.5684,0.2022,18.6564,3.54,1,November
impact7,Bradford on Tone,upstream,7.5,8,10,438,485,0.0717,19.0366,0.0395,0.0616,20.9912,0.1621,18.431,2.65,2,November
impact8,Haselbury Plucknett,upstream,7.78,7.99,10.1,400,510,0.1182,25.3985,0.2391,0.0752,14.0238,0.2624,26.3748,2.8,1,November
impact8,Haselbury Plucknett,upstream,7.59,7.7,10.1,401,501,0.1247,24.6172,0.2438,0.081,13.6228,0.5153,26.6456,2.8,1,November
impact8,Haselbury Plucknett,upstream,7.98,7,10.2,399,501,0.1147,24.0178,0.0255,0.0868,13.942,0.3364,26.1542,2.8,1,November
impact5,Wellington,downstream,7.1,8,11.5,200,531,0.0628,16.7567,0.0047,0.0661,16.4512,0.3872,12.4005,3.8,420,October
impact5,Wellington,downstream,7.12,8,11.1,231,521,0.0614,19.0694,0.0165,0.0658,21.1614,0.3872,13.7351,5.16,400,October
impact5,Wellington,downstream,7.23,8.6,11,233,512,0.0611,46.1184,0.0154,0.0764,86.0535,0.3872,31.2454,2.58,414,October
impact6,Podimore,downstream,7.18,5.4,16,439,878,0.2369,55.5948,0.0265,0.0847,44.7136,5.6878,48.2245,6.41,2840,October
