Year,Season,Active_Holes,Total_Holes,Sett Type,Trial_Code,Sett_ID_Code
4,Spring,4,12,Main,Area3,Area3 Sett52
5,Autumn,3,12,Main,Area3,Area3 Sett52
1,Summer,8,11,Main,Area3,Area3 Sett53
2,Spring,4,8,Main,Area3,Area3 Sett53
3,Spring,3,8,Main,Area3,Area3 Sett53
3,Spring,0,2,Outlier,Area3,Area3 Sett54
4,Spring,1,2,Outlier,Area3,Area3 Sett54
5,Autumn,0,2,Outlier,Area3,Area3 Sett54
4,Winter,0,1,Outlier,Area3,Area3 Sett55
4,Spring,0,1,Outlier,Area3,Area3 Sett55
2,Spring,2,12,Outlier,Area3,Area3 Sett56
4,Winter,1,13,Outlier,Area3,Area3 Sett56
4,Spring,1,8,Outlier,Area3,Area3 Sett56
5,Autumn,1,7,Outlier,Area3,Area3 Sett56
2,Spring,0,2,Outlier,Area3,Area3 Sett57
4,Winter,0,4,Outlier,Area3,Area3 Sett57
4,Spring,0,2,Outlier,Area3,Area3 Sett57
5,Autumn,0,2,Outlier,Area3,Area3 Sett57
2,Spring,1,2,Outlier,Area3,Area3 Sett58
4,Spring,1,2,Outlier,Area3,Area3 Sett58
5,Autumn,1,2,Outlier,Area3,Area3 Sett58
1,Summer,0,6,Main,Area3,Area3 Sett59
2,Spring,0,6,Outlier,Area3,Area3 Sett59
3,Spring,0,6,Outlier,Area3,Area3 Sett59
3,Autumn,0,6,Outlier,Area3,Area3 Sett59
4,Spring,0,6,Outlier,Area3,Area3 Sett59
5,Autumn,0,4,Outlier,Area3,Area3 Sett59
4,Winter,0,2,Outlier,Area3,Area3 Sett60
4,Winter,0,1,Outlier,Area3,Area3 Sett61
5,Autumn,0,2,Outlier,Area3,Area3 Sett61
4,Winter,0,1,Outlier,Area3,Area3 Sett62
1,Summer,1,8,Outlier,Area3,Area3 Sett63
2,Spring,7,11,Main,Area3,Area3 Sett63
3,Spring,5,16,Main,Area3,Area3 Sett63
3,Autumn,1,4,Outlier,Area3,Area3 Sett63
