"WDPAID,""NAME"",""REP_AREA"",""STATUS_YR"",""GOV_TYPE"",""MANG_PLAN"",""ISO3"",""REGION"",""AVERAGE_VIEWS"",""DEGAZETTE"",""DOWNGRADE"",""DOWNSIZE"",""wikidata_url"",""wikidata_id"",""AGRILAND"",""POPDENSITY"",""BUILTUP"",""ROAD"",""GPI2020"",""EXTERNALINTERV"",""TOURISM"",""GDP"""
"597,""Boucle de la Pendjari"",2755,1961,""Not Reported"",""Not Reported"",""BEN"",""Western Africa"",28.1057750759878,0,0,0,""https://www.wikidata.org/wiki/ Q1474363"",""Q1474363"",1.3,4,0,1.2,2.178,3.14,4.92,4.87"
"308624,""Boumba Bek"",2382.55,2005,""Federal or national ministry or agency"",""Reported & Existent"",""CMR"",""Central Africa"",2.97506082725061,0,0,0,""https://www.wikidata.org/wiki/ Q895125"",""Q895125"",0,2.9,0,1,2.645,3.81,4.76,4.84"
"342670,""Boé"",1053.37,NA,""Not Reported"",""Not Reported"",""GNB"",""Western Africa"",NA,0,0,0,NA,NA,NA,NA,NA,NA,2.084,3.46,4.98,4.88"
"671,""Bui"",1858.53293,1971,""Federal or national ministry or agency"",""Reported & Absent"",""GHA"",""Western Africa"",6.98966565349544,0,0,0,""https://www.wikidata.org/wiki/ Q1002702"",""Q1002702"",2.2,20.1,0.1,5.9,1.796,1,1,1"
"303692,""Bwabwata"",6277,2007,""Federal or national ministry or agency"",""Not Reported"",""NAM"",""Austral Africa"",15.4115501519757,0,0,0,""https://www.wikidata.org/wiki/ Q3364406"",""Q3364406"",6.8,11.1,0.1,4.3,1.845,4.07,4.51,4.97"
"18437,""Bwindi Impenetrable"",327,1991,""Federal or national ministry or agency"",""Not Reported"",""UGA"",""East Africa"",76.3647416413374,0,0,1,""https://www.wikidata.org/wiki/ Q500397"",""Q500397"",71.4,268.4,0,11.3,2.222,3.95,4.66,4.93"
"607,""Bénoué"",1800,1968,""Federal or national ministry or agency"",""Reported & Existent"",""CMR"",""Central Africa"",5.83282674772036,0,0,0,""https://www.wikidata.org/wiki/ Q1019469"",""Q1019469"",7.5,15.1,0,6.6,2.645,3.81,4.76,4.84"
"4035,""Camdeboo National Park"",186.86167883,2005,""Federal or national ministry or agency"",""Not Reported"",""ZAF"",""Austral Africa"",9.20547112462006,0,0,0,""https://www.wikidata.org/wiki/ Q655377"",""Q655377"",1.8,63.2,0.5,17.7,2.321,2.15,1.4,4.38"
"1242,""Campo-Ma'an"",2640.64,2000,""Federal or national ministry or agency"",""Reported & Existent"",""CMR"",""Central Africa"",3.41094224924012,0,0,0,""https://www.wikidata.org/wiki/ Q1031366"",""Q1031366"",0,17.4,0,7.2,2.645,3.81,4.76,4.84"
"351088,""Cantanhez Forest"",1057.67,2007,""Not Reported"",""Not Reported"",""GNB"",""Western Africa"",1.13726790450928,0,0,0,""https://www.wikidata.org/wiki/ Q5033548"",""Q5033548"",NA,NA,NA,NA,2.084,3.46,4.98,4.88"
"1361,""Cape Cross Seal Reserve"",10,1969,""Federal or national ministry or agency"",""Not Reported"",""NAM"",""Austral Africa"",25.6036474164134,0,0,0,""https://www.wikidata.org/wiki/ Q858128"",""Q858128"",NA,NA,NA,NA,1.845,4.07,4.51,4.97"
"7887,""Central Island"",5,1983,""Federal or national ministry or agency"",""Not Reported"",""KEN"",""East Africa"",13.0346504559271,0,0,0,""https://www.wikidata.org/wiki/ Q1053880"",""Q1053880"",NA,NA,NA,NA,2.395,2.05,2.93,3.88"
"36026,""Cestos-Senkwehn"",832.09,2003,""Federal or national ministry or agency"",""Not Reported"",""LBR"",""Western Africa"",NA,0,0,0,NA,NA,NA,NA,NA,NA,1.864,3.64,4.72,4.92"
"342517,""Chebera Churchura"",1190,2006,""Sub-national ministry or agency"",""Not Reported"",""ETH"",""East Africa"",5.2576,0,0,0,""https://www.wikidata.org/wiki/ Q28223075"",""Q28223075"",17.2,104.5,0,3.2,2.507,3.95,4.81,4.91"
"2532,""Chimanimani"",171.1,1950,""Not Reported"",""Not Reported"",""ZWE"",""Austral Africa"",NA,0,0,0,""https://www.wikidata.org/wiki/ Q18712846"",""Q18712846"",2.5,85.3,0,1.7,2.302,3.79,4.44,4.89"
"1105,""Chizarira"",1910,1975,""Not Reported"",""Not Reported"",""ZWE"",""Austral Africa"",4.37386018237082,0,0,0,""https://www.wikidata.org/wiki/ Q1075091"",""Q1075091"",6.7,2.8,0,16.4,2.302,3.79,4.44,4.89"
"600,""Chobe"",11000,1968,""Federal or national ministry or agency"",""Not Reported"",""BWA"",""Austral Africa"",106.243161094225,0,0,0,""https://www.wikidata.org/wiki/ Q859389"",""Q859389"",0.5,8.7,0,2.1,1.812,2.01,4.56,4.18"
"19563,""Chyulu Hills"",471,1983,""Federal or national ministry or agency"",""Not Reported"",""KEN"",""East Africa"",13.7519756838906,0,0,0,""https://www.wikidata.org/wiki/ Q5118629"",""Q5118629"",14.6,28.2,0,7,2.395,2.05,2.93,3.88"
"7523,""Comoe National Park"",11487.56,1968,""Government-delegated management"",""Reported & Existent"",""CIV"",""Western Africa"",16.3835866261398,0,0,1,""https://www.wikidata.org/wiki/ Q501344"",""Q501344"",3.8,16.4,0,5.6,2.129,4.74,4.92,4.96"
