parameter,name,time,mean,sd,lower95,upper95
simo_11[1],simplex1,Time: no,0.2100973504007368,0.1629145735077837,0.006800522825893285,0.599942778189395
simo_11[2],simplex2,Time: no,0.19170453612786614,0.15655852582615765,0.005957324697818791,0.5745583136983999
simo_11[3],simplex3,Time: no,0.17929468508109545,0.15172467008699156,0.004684869373666865,0.5711475468815734
simo_11[4],simplex4,Time: no,0.21979180513812016,0.16784425187946148,0.007782822409882062,0.6108179276001015
simo_11[5],simplex5,Time: no,0.19911162325218143,0.157949548411105,0.006391040250614757,0.5776368873349528
simo_12[1],simplex1,Time: yes,0.21996554745242547,0.167087033860764,0.008957426705602454,0.6164284628687794
simo_12[2],simplex2,Time: yes,0.1983461432623417,0.1555540503300033,0.0056978310306914776,0.5797455696070833
simo_12[3],simplex3,Time: yes,0.17360562788126319,0.14598055037994745,0.005823645925163108,0.5332354944292301
simo_12[4],simplex4,Time: yes,0.19627476238664893,0.15782801964955104,0.005741752882774679,0.5824622306855428
simo_12[5],simplex5,Time: yes,0.21180791901732068,0.15966063191061194,0.008037170645815698,0.5920616661688822
sigma1,sigma1,Time: no,1.0850931266196013,0.03648100361595821,1.0153647655466949,1.1582810648790833
sigma2,sigma2,Time: yes,0.9801531356754677,0.03332908745403157,0.9170966324559497,1.0474342652670057
mean_cost1,mean_cost1,Time: no,180.5832855010786,13.66050674146672,155.6338806950308,209.7719501059434
mean_cost2,mean_cost2,Time: yes,277.6494082952864,17.270540643213018,245.72029966110728,313.61166710180174
birders_mean1,birders_mean1,Time: no,415883.8854792164,31460.19082271198,358425.3262203031,483105.4736463469
birders_mean2,birders_mean2,Time: yes,639427.4774791347,39774.11047260658,565894.637926323,722248.6748095677
birders_max1,birders_max1,Time: no,1052800.5544712883,79640.75430275098,907345.5244520296,1222970.4691176498
birders_max2,birders_max2,Time: yes,1618696.0503615197,100687.25194993189,1432549.3470242554,1828356.019203504
ebird1,ebird1,Time: no,381539.17078392935,28862.13084541736,328825.68074614176,443209.43477723695
ebird2,ebird2,Time: yes,586621.9828467983,36489.466551223464,519161.6661383512,662603.6018902339
twitter1,twitter1,Time: no,477799.2956644539,36143.879437022086,411786.49713495886,555028.6103869788
twitter2,twitter2,Time: yes,734623.3144282218,45695.54780318921,650143.1501966685,829774.6562624205
lp__,lp__,NA,-1416.077878040495,4.986547525961698,-1427.0153557119324,-1407.2906781558952
