#link,coreId1,coreId2,cluster1,cluster2,linkType,eucDist,lcDist,eucAdj,cwdAdj,lcpLength,cwdToEucRatio,cwdToPathRatio,Eff_Resist,CWDTORRatio,CF_Centrality
61.0,16.0,36.0,-1.0,-1.0,1.0,1196.0,34384.4023438,1.0,0.0,3483.0,28.7495002875,9.8720649853,-1.0,-1.0,21925.70635
62.0,16.0,85.0,-1.0,-1.0,1.0,1331.0,30429.40625,1.0,1.0,3318.0,22.8620632983,9.17100851417,-1.0,-1.0,22774.17462
63.0,17.0,19.0,-1.0,-1.0,-15.0,1317.0,126381.210938,1.0,0.0,2267.0,95.961435792,55.7482183229,-1.0,-1.0,-1.0
64.0,17.0,25.0,-1.0,-1.0,-15.0,1092.0,64848.796875,1.0,1.0,1576.0,59.3853451236,41.1477137532,-1.0,-1.0,-1.0
65.0,17.0,31.0,-1.0,-1.0,1.0,946.0,40248.3046875,1.0,1.0,1286.0,42.5457766253,31.2972820276,-1.0,-1.0,3978.753129
66.0,17.0,38.0,-1.0,-1.0,1.0,1110.0,29780.5839844,1.0,1.0,1679.0,26.8293549409,17.7370958811,-1.0,-1.0,5493.12869
67.0,17.0,60.0,-1.0,-1.0,1.0,1083.0,21200.1640625,1.0,1.0,2149.0,19.5754054132,9.86512985691,-1.0,-1.0,11161.15804
68.0,17.0,61.0,-1.0,-1.0,1.0,981.0,1138.82250977,1.0,1.0,1138.0,1.16087921485,1.00072276781,-1.0,-1.0,15136.95754
69.0,17.0,90.0,-1.0,-1.0,-15.0,1261.0,38878.0078125,1.0,0.0,1896.0,30.8310926348,20.5052783821,-1.0,-1.0,-1.0
70.0,18.0,23.0,-1.0,-1.0,1.0,220.0,25913.6367188,1.0,1.0,273.0,117.789257813,94.9217462227,-1.0,-1.0,5138.734327
71.0,18.0,24.0,-1.0,-1.0,1.0,314.0,33484.1289063,1.0,1.0,362.0,106.637353205,92.4975936638,-1.0,-1.0,7192.756264
72.0,18.0,30.0,-1.0,-1.0,1.0,529.0,58683.1914063,1.0,1.0,600.0,110.932308897,97.8053190105,-1.0,-1.0,1976.607571
73.0,18.0,52.0,-1.0,-1.0,1.0,1779.0,97918.5078125,0.0,1.0,2247.0,55.0413197372,43.577440059,-1.0,-1.0,8438.902095
74.0,19.0,25.0,-1.0,-1.0,1.0,327.0,59504.1289063,1.0,1.0,642.0,181.969813169,92.6855590441,-1.0,-1.0,6766.716664
