site,BF100m,Alpine grassland,Alpine grassland (20-50% trees/rocks),Artificial area (ha)s,Coniferous forest,Crop field,Deciduous forest,Green urban area (ha)s,Hedges/Shrubs,Inand water,Meadow,Meadow with trees/bushes ,Mixed forest ,Orchard,Pasture,Pasture with trees/bushes,Riparian forest,Road/tracks/rail,Rock,Scree,Vineyard,Wetland
186_OAO,area (ha),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.2,0.0,0.3,1.5,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
188_OAO,area (ha),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0
337_OAX_O,area (ha),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0
338_OAX_C,area (ha),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
173_OAC,percentage,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.3,69.3,0.0,0.0,0.0,7.3,0.0,0.0,0.0,0.0
174_OAC,percentage,0.0,0.0,10.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,83.9,0.0,0.0,0.0,5.8,0.0,0.0,0.0,0.0
175_OAC,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.1,0.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0
177_OAC,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.5,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0
179_OAC,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.3,0.0,0.0,0.0,9.7,0.0,0.0,0.0,0.0
180_OAC,percentage,1.5,0.0,10.0,0.0,0.0,1.6,0.0,0.0,2.6,1.5,0.0,0.1,24.7,0.0,0.0,0.0,18.7,0.0,0.0,39.3,0.0
182_OAO,percentage,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,0.0,0.0,74.2,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
183_OAO,percentage,0.0,0.0,6.8,0.0,0.0,0.0,0.0,1.8,0.0,2.3,0.0,0.0,84.5,2.2,0.0,0.0,2.3,0.0,0.0,0.0,0.0
184_OAO,percentage,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.4,0.0,0.0,0.0,8.5,0.0,0.0,0.0,0.0
185_OAO,percentage,0.0,0.0,5.7,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,17.6,56.9,0.0,0.0,0.0,7.7,0.0,0.0,11.9,0.0
186_OAO,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.6,7.5,0.0,9.9,46.6,0.0,0.0,0.0,4.2,0.0,0.0,0.0,4.2
188_OAO,percentage,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.6,0.0,0.0,0.0,30.1,0.0,0.0,0.0,0.0
337_OAX_O,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
338_OAX_C,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.6,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0
