"site","tree","Fruit.set","repr_success","management","heterog100","heterog250","heterog500","heterog1000","heterog2000","multidiversity","Nflower","Napis","Nbees","Nfly","Nsyrp","Nbumb","Nbutt","Nbeet","Rapis","NpollW","RpollW","Ntot","Rtot","NbeeWild","RbeeWild","seminat100","forest100","grass100","orchard100","crop100","artificial100","openSNH100","closeSNH100","seminat250","forest250","grass250","orchard250","crop250","artificial250","openSNH250","closeSNH250","seminat500","forest500","grass500","orchard500","crop500","artificial500","openSNH500","closeSNH500","seminat1000","forest1000","grass1000","orchard1000","crop1000","artificial1000","openSNH1000","closeSNH1000","seminat2000","forest2000","grass2000","orchard2000","crop2000","artificial2000","openSNH2000","closeSNH2000"
"183_OAO",3,0,0,"organic",0.757904841974457,0.904958207282063,1.16204562815941,1.63625514986648,1.68774665925733,2.13,641,63.75,0.625,0,0.125,0.375,0,0,127.5,1.125,3.75,64.875,131.25,1,3.25,6.3,0,4.5,84.5,84.6,9.1,4.5,1.8,1.9,0,1.3,72.6,73,23.8,1.4,0.6,3.6,1.2,1.7,58.6,60.7,34.9,1.7,1.9,21.3,19,1.4,48.8,50.6,24.6,1.3,19.9,35.3,31.2,3.5,45.3,46.9,15.6,3.5,31.7
"183_OAO",1,0.06,0.470003629245735,"organic",0.757904841974457,0.904958207282063,1.16204562815941,1.63625514986648,1.68774665925733,2.13,641,63.75,0.625,0,0.125,0.375,0,0,127.5,1.125,3.75,64.875,131.25,1,3.25,6.3,0,4.5,84.5,84.6,9.1,4.5,1.8,1.9,0,1.3,72.6,73,23.8,1.4,0.6,3.6,1.2,1.7,58.6,60.7,34.9,1.7,1.9,21.3,19,1.4,48.8,50.6,24.6,1.3,19.9,35.3,31.2,3.5,45.3,46.9,15.6,3.5,31.7
"183_OAO",2,0.11,-0.133531392624523,"organic",0.757904841974457,0.904958207282063,1.16204562815941,1.63625514986648,1.68774665925733,2.13,641,63.75,0.625,0,0.125,0.375,0,0,127.5,1.125,3.75,64.875,131.25,1,3.25,6.3,0,4.5,84.5,84.6,9.1,4.5,1.8,1.9,0,1.3,72.6,73,23.8,1.4,0.6,3.6,1.2,1.7,58.6,60.7,34.9,1.7,1.9,21.3,19,1.4,48.8,50.6,24.6,1.3,19.9,35.3,31.2,3.5,45.3,46.9,15.6,3.5,31.7
"185_OAO",1,0.62,0.426518517305997,"organic",1.24401669579289,1.3754589109595,1.32267925045643,1.58417319606194,1.9298759622476,2.77,463.75,45.875,0.125,0,0,0,0,0,118.125,0.125,0.25,46,118.375,0.125,0.25,17.6,17.6,0,56.9,68.8,13.4,0,17.6,4.6,3.6,1.1,51.2,68.1,26.6,1,3.5,2.6,1.8,0.9,58.5,70.6,22.1,0.9,1.8,7.4,5.8,0.8,48.9,60.1,27.4,0.9,6.6,23.6,18.7,4.2,35.1,42.6,27.8,4.2,19.3
"185_OAO",2,0.56,1.41706601978664,"organic",1.24401669579289,1.3754589109595,1.32267925045643,1.58417319606194,1.9298759622476,2.77,463.75,45.875,0.125,0,0,0,0,0,118.125,0.125,0.25,46,118.375,0.125,0.25,17.6,17.6,0,56.9,68.8,13.4,0,17.6,4.6,3.6,1.1,51.2,68.1,26.6,1,3.5,2.6,1.8,0.9,58.5,70.6,22.1,0.9,1.8,7.4,5.8,0.8,48.9,60.1,27.4,0.9,6.6,23.6,18.7,4.2,35.1,42.6,27.8,4.2,19.3
"185_OAO",3,0.31,0.880358722648092,"organic",1.24401669579289,1.3754589109595,1.32267925045643,1.58417319606194,1.9298759622476,2.77,463.75,45.875,0.125,0,0,0,0,0,118.125,0.125,0.25,46,118.375,0.125,0.25,17.6,17.6,0,56.9,68.8,13.4,0,17.6,4.6,3.6,1.1,51.2,68.1,26.6,1,3.5,2.6,1.8,0.9,58.5,70.6,22.1,0.9,1.8,7.4,5.8,0.8,48.9,60.1,27.4,0.9,6.6,23.6,18.7,4.2,35.1,42.6,27.8,4.2,19.3
"186_OAO",1,0.18,0.287682072451781,"organic",1.3346999322373,1.72625983163152,1.89152742847345,2.14046354105671,2.26411023461571,2.52,265.625,60.375,0.375,0.75,0.875,0,0.375,0.125,269.625,2.5,13.375,62.875,282.75,0.375,1.875,21.6,9.9,7.5,46.6,46.6,4.2,11.7,9.9,18.1,9.2,4.4,40.7,41.2,24.6,8.9,9.2,26.3,20,4.4,29.9,31.7,34.4,6.3,20,37,30.1,6.1,21.9,28.6,29.5,6.8,30,59.9,40.3,19,14.4,20.3,17,19.5,40.3
"186_OAO",2,0,0,"organic",1.3346999322373,1.72625983163152,1.89152742847345,2.14046354105671,2.26411023461571,2.52,265.625,60.375,0.375,0.75,0.875,0,0.375,0.125,269.625,2.5,13.375,62.875,282.75,0.375,1.875,21.6,9.9,7.5,46.6,46.6,4.2,11.7,9.9,18.1,9.2,4.4,40.7,41.2,24.6,8.9,9.2,26.3,20,4.4,29.9,31.7,34.4,6.3,20,37,30.1,6.1,21.9,28.6,29.5,6.8,30,59.9,40.3,19,14.4,20.3,17,19.5,40.3
"186_OAO",3,0.36,1.52605630349505,"organic",1.3346999322373,1.72625983163152,1.89152742847345,2.14046354105671,2.26411023461571,2.52,265.625,60.375,0.375,0.75,0.875,0,0.375,0.125,269.625,2.5,13.375,62.875,282.75,0.375,1.875,21.6,9.9,7.5,46.6,46.6,4.2,11.7,9.9,18.1,9.2,4.4,40.7,41.2,24.6,8.9,9.2,26.3,20,4.4,29.9,31.7,34.4,6.3,20,37,30.1,6.1,21.9,28.6,29.5,6.8,30,59.9,40.3,19,14.4,20.3,17,19.5,40.3
"188_OAO",1,0.29,1.3609765531356,"organic",0.602440263520342,0.581114847309418,1.08684613039176,1.54716877979037,1.89038555185969,2.39,272.375,19.125,0.125,0,0,0,0,0,83.625,0.125,0.5,19.25,84.25,0.125,0.5,0,0,0,69.6,69.6,30.4,0,0,0,0,0,77.5,78,22,0,0,9.3,8.7,0.4,67.2,67.9,22.4,0.4,8.7,22.6,20.8,1.1,53.1,54.2,20.2,1.1,21.5,36.2,34.4,0.8,40,41.7,15.2,1.1,35.2
"188_OAO",2,0.25,1.25276296849537,"organic",0.602440263520342,0.581114847309418,1.08684613039176,1.54716877979037,1.89038555185969,2.39,272.375,19.125,0.125,0,0,0,0,0,83.625,0.125,0.5,19.25,84.25,0.125,0.5,0,0,0,69.6,69.6,30.4,0,0,0,0,0,77.5,78,22,0,0,9.3,8.7,0.4,67.2,67.9,22.4,0.4,8.7,22.6,20.8,1.1,53.1,54.2,20.2,1.1,21.5,36.2,34.4,0.8,40,41.7,15.2,1.1,35.2
"188_OAO",3,0.18,1.02961941718116,"organic",0.602440263520342,0.581114847309418,1.08684613039176,1.54716877979037,1.89038555185969,2.39,272.375,19.125,0.125,0,0,0,0,0,83.625,0.125,0.5,19.25,84.25,0.125,0.5,0,0,0,69.6,69.6,30.4,0,0,0,0,0,77.5,78,22,0,0,9.3,8.7,0.4,67.2,67.9,22.4,0.4,8.7,22.6,20.8,1.1,53.1,54.2,20.2,1.1,21.5,36.2,34.4,0.8,40,41.7,15.2,1.1,35.2
"337_OAX_O",1,0.8,0.529517756778143,"organic",0.317936780262242,0.436038476091591,0.986650609381538,1.51089024910679,1.99852216630617,2.32,380.75,53,0,0,0,0.375,0,0,187.375,0.375,2.25,53.375,189.625,0.375,2.25,0,0,0,89,89,11,0,0,0.1,0.1,0,88.6,88.6,7.9,0,0.1,17.5,13.1,4.3,73.3,73.3,5.8,4.3,13.1,26.1,15.3,10.5,59.4,59.4,12.1,10.5,15.5,47.4,36.1,11,35.9,36.4,14.2,10.9,36.5
"337_OAX_O",2,0.27,1.30833281965018,"organic",0.317936780262242,0.436038476091591,0.986650609381538,1.51089024910679,1.99852216630617,2.32,380.75,53,0,0,0,0.375,0,0,187.375,0.375,2.25,53.375,189.625,0.375,2.25,0,0,0,89,89,11,0,0,0.1,0.1,0,88.6,88.6,7.9,0,0.1,17.5,13.1,4.3,73.3,73.3,5.8,4.3,13.1,26.1,15.3,10.5,59.4,59.4,12.1,10.5,15.5,47.4,36.1,11,35.9,36.4,14.2,10.9,36.5
"337_OAX_O",3,0.6,1.54044504094715,"organic",0.317936780262242,0.436038476091591,0.986650609381538,1.51089024910679,1.99852216630617,2.32,380.75,53,0,0,0,0.375,0,0,187.375,0.375,2.25,53.375,189.625,0.375,2.25,0,0,0,89,89,11,0,0,0.1,0.1,0,88.6,88.6,7.9,0,0.1,17.5,13.1,4.3,73.3,73.3,5.8,4.3,13.1,26.1,15.3,10.5,59.4,59.4,12.1,10.5,15.5,47.4,36.1,11,35.9,36.4,14.2,10.9,36.5
"338_OAX_C",1,1,0.105360515657826,"IPM",0.142505867392738,0.201508882492783,0.326834936192784,1.38868774178306,2.04816921074518,1.36,763.375,84,0,0.25,0,0,0,0,134.75,0.25,0.375,84.25,135.125,0,0,0,0,0,95.6,95.6,4.4,0,0,0,0,0,94.6,94.6,5.4,0,0,0,0,0,92,92,8,0,0,16.5,12.5,3.8,63.7,64.4,16,3.8,12.8,47.3,35.2,11.9,35.7,36.3,14.4,11.8,35.5
"338_OAX_C",2,0.57,0.253448900809539,"IPM",0.142505867392738,0.201508882492783,0.326834936192784,1.38868774178306,2.04816921074518,1.36,763.375,84,0,0.25,0,0,0,0,134.75,0.25,0.375,84.25,135.125,0,0,0,0,0,95.6,95.6,4.4,0,0,0,0,0,94.6,94.6,5.4,0,0,0,0,0,92,92,8,0,0,16.5,12.5,3.8,63.7,64.4,16,3.8,12.8,47.3,35.2,11.9,35.7,36.3,14.4,11.8,35.5
"338_OAX_C",3,0.78,0.200670695462151,"IPM",0.142505867392738,0.201508882492783,0.326834936192784,1.38868774178306,2.04816921074518,1.36,763.375,84,0,0.25,0,0,0,0,134.75,0.25,0.375,84.25,135.125,0,0,0,0,0,95.6,95.6,4.4,0,0,0,0,0,94.6,94.6,5.4,0,0,0,0,0,92,92,8,0,0,16.5,12.5,3.8,63.7,64.4,16,3.8,12.8,47.3,35.2,11.9,35.7,36.3,14.4,11.8,35.5
