site,BF500m,Alpine grassland,Alpine grassland (20-50% trees/rocks),Artificial area (ha)s,Coniferous forest,Crop field,Deciduous forest,Green urban area (ha)s,Hedges/Shrubs,Inand water,Meadow,Meadow with trees/bushes ,Mixed forest ,Orchard,Pasture,Pasture with trees/bushes,Riparian forest,Road/tracks/rail,Rock,Scree,Vineyard,Wetland
175_OAC,percentage,0.0,0.0,3.9,0.0,0.7,0.0,0.0,0.1,0.0,0.1,0.0,0.0,89.1,0.0,0.0,0.0,5.8,0.0,0.0,0.3,0.0
177_OAC,percentage,0.1,0.0,0.4,0.0,0.4,0.0,0.0,1.2,5.5,0.0,0.0,0.0,81.8,0.0,0.0,0.0,10.6,0.0,0.0,0.0,0.0
179_OAC,percentage,0.5,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.8,0.0,0.0,0.0,8.9,0.0,0.0,0.1,0.0
180_OAC,percentage,0.3,0.0,19.5,0.0,0.0,2.7,1.6,0.8,0.8,1.2,0.0,18.8,15.5,0.0,0.0,0.0,10.9,0.0,0.1,27.9,0.0
182_OAO,percentage,0.5,0.0,8.2,0.6,6.9,0.0,0.0,2.0,0.2,34.7,0.0,1.6,38.3,0.2,1.1,0.9,4.6,0.0,0.0,0.0,0.0
183_OAO,percentage,0.0,0.0,26.4,0.0,0.3,0.0,0.7,0.7,0.1,1.5,0.0,1.2,58.6,0.2,0.0,0.0,8.5,0.0,0.0,1.8,0.0
184_OAO,percentage,1.6,0.0,8.6,0.0,0.0,32.1,0.1,0.0,1.0,1.2,0.0,1.9,43.6,0.0,0.0,0.0,4.6,0.0,0.0,5.1,0.0
185_OAO,percentage,0.3,0.2,13.8,0.0,0.0,0.3,4.7,0.0,0.0,0.4,0.0,1.5,58.5,0.0,0.0,0.0,8.3,0.0,0.0,12.1,0.0
186_OAO,percentage,0.2,0.0,27.9,0.0,1.8,12.7,0.1,0.0,7.4,4.2,0.0,5.1,29.9,0.0,0.0,2.2,6.5,0.0,0.0,0.0,1.9
188_OAO,percentage,0.4,0.0,5.8,0.0,0.5,3.3,0.0,0.0,0.4,0.0,0.0,5.4,67.2,0.0,0.0,0.0,16.6,0.0,0.2,0.2,0.0
337_OAX_O,percentage,0.0,4.3,0.6,0.6,0.0,0.8,0.0,0.0,3.5,0.0,0.0,11.7,73.3,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0
338_OAX_C,percentage,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.0
