,location,Firegion,WhyChange_Expenses,WhyChange_MoreBirds,WhyChange_NewLocation,WhyChange_NoReason,WhyChange_Timing,expense_more_bird,Expense_new_location,no_reason_expense,expense_timing,more_bird_location,more_bird_timing,more_bird_reason,location_no_reason,new_loation_timing,no_reason_tming,more_bird_location_noreason,more_bird_location_timing,no_reason_expense_timing
77,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,1,NA,NA,,,,,,,,,,,,,
78,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
79,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
80,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
81,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
82,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
83,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
84,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
85,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
86,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
87,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
88,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,1,NA,,,,,,,,,,,,,
89,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
90,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
91,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
92,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
93,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
94,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
95,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
96,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
97,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
98,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
100,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,1,NA,,,,,,,,,,,,,
101,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,1,NA,NA,NA,,,,,,,,,,,,,
102,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,1,NA,,,,,,,,,,,,,
103,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
104,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,1,NA,NA,,,,,,,,,,,,,
105,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
106,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
107,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
108,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,1,NA,,,,,,,,,,,,,
109,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
110,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
111,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,1,NA,NA,NA,,,,,,,,,,,,,
112,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
113,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,1,NA,,,,,,,,,,,,,
114,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
115,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
116,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
117,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,1,NA,NA,NA,,,,,,,,,,,,,
119,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,1,NA,NA,,,,,,,,,,,,,
120,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
121,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
122,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
123,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
124,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,1,1,NA,NA,,,,,,,,,,,,,
125,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
126,Rural area,Northern Finland north from Tornio and Kuusamo,NA,NA,NA,1,NA,,,,,,,,,,,,,
127,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
128,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,1,NA,NA,NA,,,,,,,,,,,,,
129,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,1,NA,,,,,,,,,,,,,
130,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
131,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
132,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
133,Rural area,Northern Finland north from Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
134,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
135,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,1,NA,NA,NA,,,,,,,,,,,,,
136,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,1,NA,NA,,,,,,,,,,,,,
137,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
138,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
139,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,1,NA,NA,NA,,,,,,,,,,,,,
140,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
141,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,1,NA,,,,,,,,,,,,,
142,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
143,Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
144,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
146,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,1,NA,,,,,,,,,,,,,
147,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,,,,,,,,,,,,,
148,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,1,1,NA,NA,,,,,,,,,,,,,
149,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,,,,,,,,,,,,,
150,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,,,,,,,,,,,,,
