"parentId","fact","value","factLabel","valueLabel","hab","year","month","NNN","EEE","kausi","year2","route","feeders","f1","f2","fhab","loglengthkm","fkausi","year2st","NNNst","EEEst","fyear"
"JX.1200950","routeLengthBiotopeC",1500,"Route length countryside","1500","A",2020,12,698,357,2,2021,"MNP.864",0,0,0,NA,0.405465108108164,"2",15.0253451256483,11.1604196921654,20.4324155917247,"2020"
"JX.1200961","routeLengthBiotopeC",3000,"Route length countryside","3000","A",2021,1,670,339,2,2021,"MNP.185",2,0,2,NA,1.09861228866811,"2",15.0253451256483,-16.8395803078346,2.43241559172475,"2021"
"JX.1200962","routeLengthBiotopeC",3300,"Route length countryside","3300","A",2021,1,668,339,2,2021,"MNP.133",3,3,0,"C",1.19392246847243,"2",15.0253451256483,-18.8395803078346,2.43241559172475,"2021"
"JX.1200963","routeLengthBiotopeC",1000,"Route length countryside","1000","A",2021,1,690,341,2,2021,"MNP.1057",0,0,0,NA,0,"2",15.0253451256483,3.16041969216542,4.43241559172475,"2021"
"JX.1200968","routeLengthBiotopeC",80,"Route length countryside","80","A",2021,1,689,366,2,2021,"MNP.1092",0,0,0,NA,-2.52572864430826,"2",15.0253451256483,2.16041969216542,29.4324155917247,"2021"
"JX.1200973","routeLengthBiotopeC",500,"Route length countryside","500","A",2021,1,670,340,2,2021,"MNP.3663",1,0,1,NA,-0.693147180559945,"2",15.0253451256483,-16.8395803078346,3.43241559172475,"2021"
"JX.1200978","routeLengthBiotopeC",12000,"Route length countryside","12000","A",2020,12,667,335,2,2021,"MNP.3345",0,0,0,NA,2.484906649788,"2",15.0253451256483,-19.8395803078346,-1.56758440827525,"2020"
"JX.1200988","routeLengthBiotopeC",12000,"Route length countryside","12000","A",2021,1,670,333,2,2021,"MNP.166",0,0,0,NA,2.484906649788,"2",15.0253451256483,-16.8395803078346,-3.56758440827525,"2021"
"JX.1200998","routeLengthBiotopeC",829,"Route length countryside","829","A",2021,1,667,339,2,2021,"MNP.86",2,0,2,NA,-0.187535123846842,"2",15.0253451256483,-19.8395803078346,2.43241559172475,"2021"
"JX.1201006","routeLengthBiotopeC",1400,"Route length countryside","1400","A",2021,1,736,341,2,2021,"MNP.3789",0,0,0,NA,0.336472236621213,"2",15.0253451256483,49.1604196921654,4.43241559172475,"2021"
"JX.1201011","routeLengthBiotopeC",1100,"Route length countryside","1100","A",2021,1,679,320,2,2021,"MNP.275",6,6,0,"C",0.0953101798043249,"2",15.0253451256483,-7.83958030783458,-16.5675844082753,"2021"
"JX.1201017","routeLengthBiotopeC",3000,"Route length countryside","3000","A",2021,1,678,334,2,2021,"MNP.3644",3,2,1,"C",1.09861228866811,"2",15.0253451256483,-8.83958030783458,-2.56758440827525,"2021"
"JX.1201020","routeLengthBiotopeC",600,"Route length countryside","600","A",2021,1,678,342,2,2021,"MNP.1956",0,0,0,NA,-0.510825623765991,"2",15.0253451256483,-8.83958030783458,5.43241559172475,"2021"
"JX.1201023","routeLengthBiotopeC",3400,"Route length countryside","3400","A",2021,1,700,352,2,2021,"MNP.627",13,13,0,"C",1.22377543162212,"2",15.0253451256483,13.1604196921654,15.4324155917247,"2021"
"JX.1201030","routeLengthBiotopeC",650,"Route length countryside","650","A",2021,1,697,354,2,2021,"MNP.9870",1,1,0,"C",-0.430782916092454,"2",15.0253451256483,10.1604196921654,17.4324155917247,"2021"
"JX.1201035","routeLengthBiotopeC",8685,"Route length countryside","8685","A",2021,1,669,310,2,2021,"MNP.90",23,11,12,"C",2.16159739969307,"2",15.0253451256483,-17.8395803078346,-26.5675844082753,"2021"
"JX.1201042","routeLengthBiotopeC",5200,"Route length countryside","5200","A",2021,1,670,311,2,2021,"MNP.92",27,10,17,"C",1.64865862558738,"2",15.0253451256483,-16.8395803078346,-25.5675844082753,"2021"
"JX.1201049","routeLengthBiotopeC",1000,"Route length countryside","1000","A",2021,1,684,363,2,2021,"MNP.4007",1,0,1,NA,0,"2",15.0253451256483,-2.83958030783458,26.4324155917247,"2021"
"JX.1201056","routeLengthBiotopeC",8000,"Route length countryside","8000","A",2021,1,670,312,2,2021,"MNP.91",10,2,8,"C",2.07944154167984,"2",15.0253451256483,-16.8395803078346,-24.5675844082753,"2021"
"JX.1201061","routeLengthBiotopeC",500,"Route length countryside","500","A",2021,1,669,336,2,2021,"MNP.3570",3,0,3,NA,-0.693147180559945,"2",15.0253451256483,-17.8395803078346,-0.567584408275252,"2021"
"JX.1201062","routeLengthBiotopeC",1000,"Route length countryside","1000","A",2021,1,673,327,2,2021,"MNP.1923",4,4,0,"C",0,"2",15.0253451256483,-13.8395803078346,-9.56758440827525,"2021"
