ID;session;place;gender;age;Betsileo_sp;life;archi;phylo;ferpo;leav;root;flo;fru;EAD;pheL;pheF;land;soil;nbsp_Fa;nbsp_Fl;use;eco;score
L3;3;L;F;13;Roimbosa;0;0;1;1;0;0;0;4;0;0;0;0;0;1;0;0;1;8
L3;3;L;F;13;Rotsy bory;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;3
L3;3;L;F;13;Voanaka;0;0;1;1;3;0;0;4;0;0;0;0;0;0;0;0;1;10
L3;3;L;F;13;Voaroy;0;0;1;1;0;0;0;3;0;0;1;0;0;1;0;0;1;8
L3;3;L;F;13;Voatsitakajaza;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2
L4;4;L;M;14;Kilela;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;3
L4;4;L;M;14;Lanary;1;0;0;1;0;0;0;4;0;0;0;1;0;1;0;0;1;9
L4;4;L;M;14;Roimbosa;0;0;0;1;0;1;0;3;1;0;0;1;0;1;0;0;1;9
L4;4;L;M;14;Rotsy;1;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;1;6
L4;4;L;M;14;Voatabiahazo;0;0;0;0;0;1;0;3;0;0;0;1;0;0;0;0;1;6
L5;5;L;M;14;Goavy;1;1;0;1;2;2;0;1;0;0;0;1;1;0;0;0;1;11
L5;5;L;M;14;Voafotsy;1;1;0;1;1;2;0;2;1;0;0;0;1;0;0;0;1;11
L5;5;L;M;14;Voanaka;1;0;0;1;2;2;0;2;0;0;0;0;1;0;0;0;1;10
L5;5;L;M;14;Voaroitsaka;1;0;0;1;1;2;0;2;0;0;1;0;1;0;0;0;1;10
L5;5;L;M;14;Voatsitakajaza;1;0;0;1;1;2;0;1;1;0;0;1;1;2;0;0;1;12
M1;1;M;F;15;Raketa;1;0;0;1;0;0;1;2;0;0;1;0;0;0;0;0;1;7
M1;1;M;F;15;Rotsy;1;0;0;0;0;0;0;4;0;0;1;0;1;0;0;0;1;8
M1;1;M;F;15;Voanaka;1;0;0;1;3;0;0;4;1;0;0;0;1;0;0;0;1;12
M1;1;M;F;15;Voaroy;0;0;0;0;0;0;0;4;1;0;1;0;0;0;0;0;1;7
M1;1;M;F;15;Voatsitakajaza;1;1;1;1;2;0;0;2;0;0;0;0;1;0;0;0;1;10
M2;2;M;F;15;Ana;0;0;0;1;3;0;0;3;0;0;0;0;0;0;0;0;1;8
M2;2;M;F;15;Goavy;0;0;0;1;2;0;0;2;0;0;0;0;0;0;0;0;1;6
M2;2;M;F;15;Kilela;1;0;1;1;3;0;0;3;0;0;0;0;0;0;0;0;1;10
M2;2;M;F;15;Tsitsitrotroka;1;0;1;1;3;0;0;3;0;0;0;0;0;0;0;0;1;10
M2;2;M;F;15;Voaroitsaka;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;1;4
M2;2;M;F;15;Zamborizany;0;0;0;1;3;0;0;4;0;0;0;0;0;0;0;0;1;9
M3;3;M;F;15;Goavy;1;0;0;0;2;1;0;2;0;0;1;0;0;0;0;0;1;8
